idiom,response,response_checked
blood and guts,check,i
blood and guts,check,u
blood and guts,i,i
strike while the iron is hot,i,i
strike while the iron is hot,check,i
on the hop,i,i
on the hop,i,i
on the hop,i,i
all over the map,check,i
all over the map,check,i
all over the map,check,i
let the cat out of the bag,i,i
let the cat out of the bag,i,i
let the cat out of the bag,i,i
blaze a trail,i,i
blaze a trail,check,i
blaze a trail,i,i
on the bounce,i,i
on the bounce,i,i
on the bounce,i,i
at a canter,i,i
at a canter,check,i
at a canter,i,i
out to lunch,i,i
out to lunch,i,i
out to lunch,i,i
twist someone's arm,i,i
twist someone's arm,check,i
twist someone's arm,i,i
swings and roundabouts,check,i
swings and roundabouts,i,i
swings and roundabouts,i,i
on the ball,i,i
on the ball,i,i
rob Peter to pay Paul,i,i
rob Peter to pay Paul,check,i
rob Peter to pay Paul,check,i
ring a bell,i,i
ring a bell,i,i
ring a bell,check,i
to die for,i,i
to die for,i,i
to die for,i,i
everything but the kitchen sink,i,i
spend a penny,check,i
spend a penny,i,i
spend a penny,check,i
in black and white,check,i
in black and white,check,i
in black and white,check,i
doom and gloom,check,i
doom and gloom,check,i
doom and gloom,check,i
keep tabs on,i,i
keep tabs on,i,i
keep tabs on,i,i
get the picture,check,i
get the picture,i,i
get the picture,check,i
look the other way,i,i
look the other way,check,i
look the other way,i,i
burst someone's bubble,i,i
burst someone's bubble,check,u
burst someone's bubble,i,i
fall in line,check,i
fall in line,i,i
fall in line,i,i
water under the bridge,i,i
water under the bridge,i,i
water under the bridge,check,i
keep a lid on,check,i
keep a lid on,i,i
keep a lid on,i,i
down the drain,i,i
down the drain,i,i
down the drain,check,i
make the cut,i,i
make the cut,i,i
make the cut,i,i
free and easy,check,i
free and easy,check,i
free and easy,i,i
with a vengeance,check,i
cut both ways,i,i
cut both ways,check,i
cut both ways,check,i
sing the praises of,i,i
sing the praises of,check,i
sing the praises of,check,i
hold the line,check,u
pull the plug,i,i
pull the plug,i,i
pull the plug,i,i
make a move,check,i
make a move,i,i
make a move,i,i
make a meal of,i,i
make a meal of,i,i
make a meal of,check,i
the icing on the cake,i,i
the icing on the cake,i,i
the icing on the cake,check,i
in the red,check,i
in the red,check,i
in the red,i,i
feel the pinch,i,i
feel the pinch,i,i
feel the pinch,check,i
under the microscope,check,i
under the microscope,i,i
under the microscope,check,i
pay the piper,check,i
pay the piper,i,i
pay the piper,check,i
on the trot,i,i
on the trot,i,i
on the trot,i,i
peaches and cream,i,i
peaches and cream,l,l
toe the line,check,i
toe the line,check,i
grasp the nettle,i,i
grasp the nettle,check,i
grasp the nettle,check,i
high and mighty,i,i
high and mighty,check,i
high and mighty,i,i
in the hole,i,i
in the hole,check,i
in the hole,i,i
take the fall,i,i
take the fall,i,i
take the fall,i,i
in the offing,check,i
in the offing,i,i
in the offing,i,i
ride roughshod over,i,i
ride roughshod over,i,i
ride roughshod over,check,i
crash and burn,i,i
crash and burn,check,i
crash and burn,check,i
dyed in the wool,i,i
dyed in the wool,check,i
dyed in the wool,check,i
fight fire with fire,i,i
fight fire with fire,i,i
fight fire with fire,i,i
all over the place,i,i
all over the place,i,i
all over the place,check,i
grind to a halt,check,i
grind to a halt,i,i
grind to a halt,i,i
in a nutshell,check,i
in a nutshell,check,i
rise and shine,i,i
take a back seat,i,i
take a bath,i,i
take a bath,l,l
take a bath,check,i
bury the hatchet,check,l
bury the hatchet,check,i
in the soup,check,i
in the soup,check,i
in the soup,i,i
grease the wheels,i,i
grease the wheels,i,i
grease the wheels,check,i
apples and oranges,i,i
apples and oranges,check,i
follow in someone's footsteps,check,u
follow in someone's footsteps,check,i
follow in someone's footsteps,check,i
under the wire,i,i
under the wire,i,i
under the wire,check,i
out of the blue,check,i
out of the blue,check,i
out of the blue,i,i
over the moon,i,i
over the moon,i,i
throw down the gauntlet,i,i
throw down the gauntlet,i,i
take the bull by the horns,i,i
take the bull by the horns,check,i
take the bull by the horns,i,i
over the top,i,i
over the top,i,i
over the top,i,i
sweetness and light,i,i
sweetness and light,i,i
behind someone's back,i,i
behind someone's back,i,i
on the ropes,i,i
take the cake,check,i
dig up dirt,check,i
dig up dirt,i,i
dig up dirt,i,i
left and right,i,i
dead in the water,i,i
dead in the water,check,i
dead in the water,i,i
take no prisoners,check,i
run out of steam,check,i
take a hike,i,i
take a hike,i,i
take a hike,i,i
go the extra mile,check,I
under a cloud,i,i
under a cloud,i,i
under a cloud,check,i
in someone's pocket,check,i
in someone's pocket,i,i
in someone's pocket,i,i
on the shelf,check,i
on the shelf,check,i
on the shelf,i,i
pound the pavement,i,i
cut and thrust,i,i
cut and thrust,check,i
song and dance,check,i
song and dance,i,i
song and dance,check,i
turn the tables,i,i
turn the tables,i,i
over the hill,i,i
over the hill,i,i
over the hill,check,i
out of the loop,check,i
drop the ball,i,i
the buck stops here,check,i
the buck stops here,check,i
the buck stops here,check,i
on the rocks,i,i
on the rocks,i,i
on the rocks,i,i
break someone's heart,i,i
break someone's heart,i,i
break someone's heart,check,i
steal someone's thunder,i,i
slap on the wrist,check,i
slap on the wrist,i,i
on the make,check,i
on the make,i,i
on the make,i,i
things that go bump in the night,check,i
push the boat out,i,i
push the boat out,i,i
push the boat out,i,i
smell a rat,check,u
smell a rat,check,i
smell a rat,check,u
shoot the messenger,check,i
shoot the messenger,i,i
shoot the messenger,check,i
wake up and smell the coffee,i,i
fun and games,i,i
fun and games,i,i
fun and games,check,i
cast the first stone,i,i
cast the first stone,i,i
kick the bucket,i,i
kick the bucket,check,i
kick the bucket,check,i
fly a kite,check,u
fly a kite,i,i
fly a kite,i,i
in the clear,check,i
in the clear,i,i
have a few,check,i
have a few,i,i
have a few,i,i
to the hilt,i,i
to the hilt,check,i
to the hilt,i,i
open the floodgates,i,i
open the floodgates,i,i
open the floodgates,check,u
throw the book at,check,i
throw the book at,i,i
throw the book at,i,i
when the chips are down,i,i
when the chips are down,i,i
between a rock and a hard place,check,i
between a rock and a hard place,i,i
put down roots,i,i
put down roots,i,i
in your dreams,i,i
in your dreams,i,i
short and sweet,i,i
cut and dried,i,i
cut and dried,check,i
cut and dried,check,i
six of the best,check,i
six of the best,i,i
six of the best,i,i
behind closed doors,check,i
behind closed doors,check,i
behind closed doors,check,i
clear the decks,check,i
clear the decks,check,i
clear the decks,i,i
on the game,check,u
on the game,i,i
on the game,i,i
with open arms,i,i
with open arms,i,i
flash in the pan,check,i
flash in the pan,check,u
flash in the pan,i,i
rough around the edges,i,i
rough around the edges,i,i
fly off the handle,i,i
fly off the handle,i,i
see the light,i,i
see the light,i,i
see the light,i,i
pour cold water on,check,u
pour cold water on,i,i
pour cold water on,i,i
fire in the belly,i,i
get a grip,i,i
get a grip,check,i
get a grip,i,i
in the loop,check,u
in the loop,check,i
in the loop,check,i
fly in the face of,i,i
fly in the face of,i,i
get the boot,i,i
get the boot,i,i
on and off,i,i
on and off,i,i
on and off,check,i
cook the books,check,i
cook the books,l,l
cook the books,check,i
on the same page,i,i
on the same page,check,i
run a mile,i,i
run a mile,i,i
run a mile,i,i
on thin ice,check,i
on thin ice,check,i
close to home,i,i
close to home,i,i
close to home,check,i
in the bag,check,i
in the bag,i,i
in the raw,i,i
in the raw,i,i
cut the mustard,check,i
force someone's hand,i,i
force someone's hand,i,i
in the final analysis,check,i
in the final analysis,i,i
in the final analysis,i,i
up in the air,i,i
up in the air,i,i
fall from grace,check,l
fall from grace,i,i
fall from grace,check,i
full of beans,i,i
full of beans,i,i
full of beans,i,i
press the panic button,i,i
press the panic button,i,i
press the panic button,i,i
have a heart,check,i
have a heart,check,i
have a heart,i,i
on the fly,check,i
on the fly,i,i
get stuck in,i,i
get stuck in,i,i
get stuck in,i,i
out of the box,i,i
out of the box,check,i
out of the box,i,i
on the warpath,i,i
on the warpath,check,i
on the warpath,check,i
take a dive,i,i
take a dive,i,i
take a dive,i,i
scratch the surface,i,i
scratch the surface,i,i
scratch the surface,check,i
hammer and tongs,check,i
hammer and tongs,check,i
hammer and tongs,i,i
make a clean break,l,l
make a clean break,i,i
make a clean break,check,i
at sixes and sevens,i,i
nuts and bolts,check,i
nuts and bolts,check,i
nuts and bolts,check,i
the ball is in someone's court,i,i
the ball is in someone's court,i,i
get a life,i,i
get a life,i,i
get a life,i,i
on the nose,i,i
on the nose,check,i
on the nose,i,i
on a shoestring,i,i
in the driver's seat,check,i
in the driver's seat,check,i
wet behind the ears,i,i
wet behind the ears,i,i
wet behind the ears,i,i
up a tree,check,i
up a tree,check,i
up a tree,i,i
pick someone's brain,i,i
fill someone's shoes,i,i
save someone's skin,i,i
save someone's skin,i,i
walk all over,i,i
walk all over,i,i
walk all over,i,i
hot and heavy,i,i
hot and heavy,i,i
hot and heavy,i,i
strike a chord,i,i
strike a chord,i,i
strike a chord,i,i
batten down the hatches,check,i
batten down the hatches,i,i
batten down the hatches,check,i
cap in hand,i,i
cap in hand,check,i
cap in hand,i,i
kicking and screaming,i,i
kicking and screaming,i,i
kicking and screaming,check,i
sick and tired,l,l
sick and tired,i,i
on the cards,i,i
on the cards,check,i
face the music,check,i
face the music,i,i
come in from the cold,i,i
come in from the cold,i,i
come in from the cold,i,i
head over heels,i,i
head over heels,i,i
head over heels,check,i
reach for the stars,check,i
for a song,i,i
for a song,i,i
for a song,i,i
down the tubes,check,l
down the tubes,i,i
down the tubes,i,i
no strings attached,check,i
no strings attached,check,i
no strings attached,i,i
spit it out,i,i
spit it out,i,i
spit it out,i,i
don't hold your breath,i,i
don't hold your breath,i,i
don't hold your breath,i,i
stand up and be counted,i,i
stand up and be counted,i,i
far and away,i,i
far and away,check,i
far and away,check,i
sink or swim,check,i
sink or swim,i,i
sink or swim,i,i
hit the bottle,i,i
hit the bottle,i,i
hit the bottle,i,i
turn over a new leaf,check,i
turn over a new leaf,i,i
put the boot in,i,i
put the boot in,i,i
make a splash,check,i
make a splash,check,i
draw a line in the sand,check,i
push someone's buttons,i,i
push someone's buttons,i,i
separate the wheat from the chaff,i,i
separate the wheat from the chaff,i,i
get to grips with,i,i
get under someone's skin,i,i
get under someone's skin,i,i
get under someone's skin,i,i
up to speed,check,i
up to speed,check,i
go with the flow,i,i
go with the flow,i,i
rule the roost,check,i
rule the roost,check,u
rule the roost,check,i
in the fast lane,i,i
in the fast lane,check,i
in the fast lane,i,i
break the back of,i,i
break the back of,i,i
break the back of,l,l
put words in someone's mouth,i,i
put words in someone's mouth,check,i
put words in someone's mouth,i,i
shut the door on,i,i
shut the door on,check,i
shut the door on,i,i
kiss of death,i,i
kiss of death,check,i
kiss of death,i,i
on the skids,check,i
on the skids,i,i
on the skids,i,i
light at the end of the tunnel,i,i
light at the end of the tunnel,i,i
light at the end of the tunnel,i,i
on a roll,i,i
on a roll,i,i
rock the boat,check,i
rock the boat,i,i
below the belt,check,i
below the belt,i,i
below the belt,i,i
see eye to eye,check,i
see eye to eye,check,i
get it up,i,i
get it up,i,i
get it up,i,i
get away with murder,check,i
get away with murder,check,u
get away with murder,l,l
one of those things,check,i
one of those things,i,i
joined at the hip,i,i
joined at the hip,check,i
have a ball,i,i
have a ball,check,u
under the sun,check,i
under the sun,check,i
under the sun,i,i
on the wagon,check,i
on the wagon,i,i
on the wagon,check,i
call a spade a spade,check,i
call a spade a spade,check,i
call a spade a spade,i,i
spill the beans,check,i
spill the beans,i,i
on the button,i,i
on the button,i,i
on the button,check,i
black and blue,i,i
black and blue,check,u
black and blue,i,i
put the cart before the horse,check,i
bells and whistles,i,i
bells and whistles,i,i
in cold blood,i,i
in cold blood,i,i
carrot and stick,check,i
carrot and stick,check,i
down the road,i,i
down the road,i,i
down the road,i,i
heads will roll,check,i
heads will roll,i,i
at the end of the day,check,i
at the end of the day,check,i
at the end of the day,i,i
heart and soul,i,i
heart and soul,i,i
heart and soul,i,i
pack a punch,i,i
pack a punch,i,i
pack a punch,check,i
eat someone alive,i,i
eat someone alive,i,i
eat someone alive,i,i
tie the knot,i,i
tie the knot,i,i
tie the knot,i,i
step on it,i,i
step on it,i,i
out of the picture,check,i
out of the picture,check,i
break the ice,check,i
break the ice,i,i
break the ice,i,i
pop the question,i,i
pop the question,i,i
pop the question,i,i
full speed ahead,l,l
full speed ahead,i,i
full speed ahead,i,i
point the finger,check,i
point the finger,i,i
sign on the dotted line,check,i
sign on the dotted line,i,i
sign on the dotted line,check,i
up the ante,i,i
up the ante,i,i
up the ante,check,i
bring home the bacon,i,i
bring home the bacon,i,i
bring home the bacon,l,l
with a view to,check,i
with a view to,i,i
with a view to,i,i
move heaven and earth,check,i
move heaven and earth,check,i
move heaven and earth,i,i
across the board,check,i
across the board,check,i
tip the scales,check,i
tip the scales,i,i
face to face,i,i
face to face,check,i
face to face,i,i
hold someone's hand,check,u
hold someone's hand,i,i
hold someone's hand,check,i
cut from the same cloth,check,i
cut from the same cloth,check,i
cut from the same cloth,check,i
licence to print money,check,i
licence to print money,i,i
licence to print money,check,i
on the mend,check,i
on the mend,i,i
on the mend,i,i
go all the way,i,i
go all the way,check,i
go all the way,i,i
come with the territory,check,i
come with the territory,check,i
the bee's knees,check,i
the bee's knees,i,i
the bee's knees,i,i
on the back of,check,i
on the back of,i,i
on the back of,check,i
get a rise out of,i,i
get off the ground,check,i
get off the ground,i,i
get off the ground,i,i
under the table,i,i
under the table,i,i
under the table,i,i
do someone proud,check,i
do someone proud,i,i
do someone proud,i,i
down to the wire,check,i
down to the wire,check,i
down to the wire,check,'u'
go the distance,i,i
go the distance,i,i
go the distance,i,i
fast and furious,i,i
fast and furious,check,i
fast and furious,check,i
watch this space,i,i
watch this space,check,i
set the wheels in motion,i,i
set the wheels in motion,i,i
set the wheels in motion,check,i
to the tune of,check,i
to the tune of,i,i
to the tune of,check,i
on the back burner,check,i
on the back burner,i,i
on the back burner,check,i
turn the screw,i,i
turn the screw,i,i
turn the screw,check,i
glass ceiling,i,i
glass ceiling,i,i
glass ceiling,i,i
grass root,check,u
grass root,i,i
grass root,i,i
head hunter,check,i
head hunter,i,i
head hunter,i,i
heavy cross,i,i
heavy cross,i,i
heavy cross,i,i
banana republic,i,i
banana republic,i,i
banana republic,i,i
crocodile tear,i,i
crocodile tear,check,i
crocodile tear,check,i
eager beaver,i,i
eager beaver,l,l
cutting edge,i,i
cutting edge,check,i
cutting edge,check,i
melting pot,check,i
melting pot,i,i
melting pot,i,i
hot potato,i,i
hot potato,i,i
hot potato,check,u
monkey business,check,i
monkey business,check,i
monkey business,check,i
big cheese,i,i
big cheese,i,i
big cheese,i,i
nest egg,i,i
nest egg,i,i
big picture,check,i
big picture,i,i
big picture,i,i
night owl,i,i
night owl,i,i
night owl,check,i
fashion plate,i,i
fashion plate,i,i
fashion plate,check,i
big wig,i,i
big wig,i,i
big wig,check,u
flower child,i,i
flower child,i,i
flower child,i,i
panda car,l,l
black box,i,i
black box,check,i
black box,check,i
flea market,i,i
flea market,check,l
flea market,check,l
goose egg,i,i
blind alley,i,i
blind alley,check,i
blind alley,i,i
low profile,i,i
low profile,i,i
low profile,i,i
blue blood,l,l
blue blood,check,i
blue blood,i,i
grandfather clock,check,i
grandfather clock,i,i
grandfather clock,i,i
guinea pig,i,i
guinea pig,i,i
guinea pig,check,i
graveyard shift,i,i
graveyard shift,i,i
gravy train,i,i
gravy train,i,i
gravy train,i,i
rat run,i,i
rock bottom,i,i
rock bottom,check,i
rock bottom,i,i
pipe dream,i,i
pipe dream,i,i
pipe dream,i,i
rocket science,i,i
rocket science,check,i
rocket science,check,i
poison pill,i,i
poison pill,i,i
poison pill,check,i
shrinking violet,i,i
shrinking violet,i,i
shrinking violet,check,i
silver bullet,i,i
silver bullet,check,i
silver bullet,check,i
damp squib,i,i
dark horse,i,i
dark horse,i,i
dark horse,i,i
ivory tower,check,i
ivory tower,i,i
ivory tower,i,i
kangaroo court,l,l
kangaroo court,i,i
kangaroo court,check,i
sitting duck,i,i
double cross,check,i
double cross,check,i
double cross,i,i
smoking gun,check,i
smoking gun,check,u
double dutch,i,i
double dutch,check,i
double dutch,check,i
snake oil,i,i
snake oil,i,i
snake oil,i,i
smoke screen,i,i
smoke screen,check,i
smoke screen,i,i
swan song,i,i
swan song,i,i
swan song,check,i
old flame,check,i
old flame,check,i
old flame,i,i
zebra crossing,l,l
zebra crossing,check,l
zebra crossing,check,l
silver lining,check,i
top dog,i,i
bad hat,check,u
bad hat,i,i
bad hat,l,l
acid test,check,i
acid test,check,i
acid test,i,i
big fish,i,i
agony aunt,check,i
brass ring,i,i
brass ring,i,i
brass ring,check,i
busy bee,i,i
closed book,check,i
closed book,i,i
closed book,i,i
