Word,GPT_Fam_dominant,GPT_Fam_probs,Multilex_Zipf,Type,Subtype_MWE
609,4,3.92,2.52,W,
672,4,3.65,2.25,W,
673,5,4.72,1.74,W,
700,7,6.98,4.13,W,
750,7,6.41,3.30,W,
800,7,6.93,4.25,W,
880,5,4.62,2.16,W,
898,5,3.88,1.74,W,
900,7,6.96,4.12,W,
911,7,7.00,3.91,W,
990,6,6.30,2.41,W,
999,6,6.11,3.20,W,
1005,5,4.08,2.24,W,
1775,5,4.41,2.21,W,
1776,6,6.11,2.56,W,
1777,5,4.72,1.81,W,
1789,5,4.44,2.42,W,
1797,4,3.69,1.89,W,
1799,4,3.99,2.09,W,
1809,4,4.05,1.96,W,
1810,4,4.26,2.08,W,
1818,4,3.81,1.99,W,
1837,4,4.33,1.95,W,
1847,4,3.57,2.07,W,
1848,4,3.84,2.33,W,
1849,4,4.10,2.19,W,
1860,5,5.34,2.63,W,
1861,5,4.96,2.41,W,
1862,5,4.84,2.53,W,
1863,5,4.69,2.52,W,
1864,4,3.78,2.52,W,
1865,5,4.97,2.55,W,
1867,4,4.05,2.25,W,
1869,5,4.48,2.27,W,
1876,4,4.04,2.32,W,
1885,4,3.87,2.41,W,
1886,4,3.59,2.33,W,
1887,4,3.54,2.31,W,
1894,4,4.32,2.31,W,
1896,5,4.98,2.46,W,
1897,5,4.58,2.56,W,
1902,6,5.27,2.52,W,
1903,5,4.97,2.62,W,
1904,6,5.30,2.47,W,
1905,5,4.43,2.69,W,
1906,5,4.53,2.57,W,
1907,4,4.30,2.51,W,
1910,6,5.55,2.77,W,
1911,5,4.53,2.75,W,
1912,5,5.40,2.91,W,
1913,5,5.06,2.74,W,
1914,6,5.79,3.11,W,
1915,5,5.27,2.87,W,
1916,5,4.66,2.89,W,
1917,5,5.40,3.04,W,
1918,6,5.75,3.05,W,
1919,5,4.95,2.90,W,
1920,6,6.28,2.98,W,
1921,5,5.17,2.69,W,
1922,4,4.37,2.79,W,
1926,4,4.28,2.72,W,
1927,5,4.73,2.83,W,
1928,5,5.32,2.82,W,
1929,6,5.86,2.96,W,
1930,6,6.08,3.05,W,
1931,6,5.58,2.92,W,
1932,6,5.76,2.95,W,
1933,6,5.85,3.06,W,
1934,5,5.10,2.87,W,
1935,6,5.71,2.90,W,
1936,6,5.47,3.03,W,
1937,6,5.59,3.01,W,
1938,6,5.71,3.06,W,
1939,6,6.22,3.24,W,
1940,7,6.57,3.30,W,
1942,5,5.40,3.32,W,
1943,6,5.96,3.26,W,
1945,7,6.70,3.46,W,
1946,6,6.02,2.97,W,
1947,6,5.95,3.15,W,
1949,6,5.80,2.99,W,
1952,6,5.76,3.04,W,
1953,6,6.02,3.04,W,
1954,6,6.05,2.97,W,
1955,6,5.88,3.05,W,
1956,5,5.43,3.03,W,
1957,6,5.96,3.02,W,
1958,5,5.46,3.04,W,
1960,7,6.63,3.21,W,
1961,5,5.60,3.08,W,
1962,6,5.71,3.14,W,
1963,6,6.22,3.19,W,
1964,6,6.02,3.20,W,
1965,6,6.17,3.18,W,
1966,6,5.81,3.13,W,
1967,6,6.03,3.22,W,
1968,6,6.33,3.34,W,
1970,7,6.86,3.30,W,
1971,6,5.89,3.15,W,
1972,6,6.08,3.23,W,
1973,6,5.84,3.20,W,
1975,6,5.89,3.19,W,
1977,6,6.19,3.12,W,
1978,6,6.14,3.20,W,
1979,6,5.86,3.25,W,
1981,6,6.46,3.15,W,
1982,6,6.22,3.22,W,
1983,6,6.42,3.22,W,
1984,7,6.66,3.25,W,
1985,6,6.33,3.28,W,
1986,7,6.55,3.21,W,
1987,7,6.50,3.19,W,
1989,6,6.07,3.30,W,
1990,7,6.94,3.30,W,
1992,7,6.75,3.25,W,
1993,7,6.81,3.23,W,
1994,7,6.61,3.25,W,
1995,7,6.86,3.23,W,
1996,7,6.85,3.23,W,
1997,7,6.79,3.31,W,
1998,7,6.88,3.29,W,
1999,7,6.77,3.30,W,
2000,7,7.00,4.30,W,
2001,7,6.74,3.47,W,
2003,7,6.91,3.38,W,
2004,7,6.95,3.40,W,
2005,7,6.98,3.43,W,
2007,7,6.69,3.40,W,
2008,7,6.94,3.48,W,
2009,7,6.86,3.42,W,
2010,7,6.98,3.55,W,
2011,7,6.96,3.59,W,
2012,7,6.71,3.59,W,
2013,7,6.88,3.47,W,
2014,7,6.99,3.37,W,
2015,7,6.99,3.35,W,
2016,7,6.99,3.17,W,
2017,7,6.99,2.80,W,
2018,7,6.98,2.24,W,
2019,7,6.99,1.99,W,
2020,7,7.00,2.56,W,
2021,7,6.97,1.88,W,
2024,7,6.50,2.12,W,
2500,7,6.87,3.46,W,
3000,7,6.91,4.08,W,
3000,7,6.69,4.08,W,
5000,7,6.96,4.20,W,
100000,7,6.41,4.07,W,
300000,5,5.16,3.54,W,
(as a) matter of fact,6,6.49,NA,MWE,
(by) turns,5,4.76,NA,MWE,
(call it) quits,6,6.02,NA,MWE,
(can't) help it,6,6.19,NA,MWE,
(can't) possibly,6,5.96,NA,MWE,
(fought) with,7,6.88,NA,MWE,
(in) keeping,5,5.14,NA,MWE,
(keep in) mind,7,6.85,NA,MWE,
(keep) time,6,5.80,NA,MWE,
(man) of the hour,5,5.15,NA,MWE,
(out of the) question,6,5.95,NA,MWE,
(take) leave of,4,4.03,NA,MWE,
(the) masses,6,5.84,NA,MWE,
(to no) avail,5,4.70,NA,MWE,
(to the) fore,4,3.61,NA,MWE,
(to the) quick,4,3.67,NA,MWE,
(to) pieces,5,4.51,NA,MWE,
(twenty) odd,5,4.57,NA,MWE,
(work) away,6,5.68,NA,MWE,
(you) yourself,7,6.89,NA,MWE,
.22 caliber,4,4.26,NA,MWE,
.38 caliber,5,4.58,NA,MWE,
‘tis the season,5,4.43,NA,MWE,
1 kgs,6,5.59,NA,MWE,
1 samuel,4,3.79,NA,MWE,
100th,7,6.74,2.97,W,
101st,6,5.94,2.54,W,
10th,7,6.91,3.75,W,
11th,7,6.64,3.63,W,
12th,7,6.83,3.73,W,
13th,6,6.40,3.72,W,
14th,7,6.58,3.69,W,
15 minutes of fame,6,6.09,NA,MWE,
15th,7,6.58,3.74,W,
16th,7,6.67,3.68,W,
17th,7,6.52,3.65,W,
1800s,6,6.20,2.92,W,
1860s,6,5.90,2.16,W,
18-karat gold,6,5.88,NA,MWE,WhW
18th,6,6.48,3.77,W,
1900s,6,6.39,2.49,W,
1940s,6,6.45,2.86,W,
1950s,7,6.73,3.21,W,
1960s,7,6.82,3.15,W,
1970s,7,6.89,3.17,W,
1980s,7,6.92,3.14,W,
19th,6,6.40,3.77,W,
1st,6,6.49,3.94,W,
1st class,7,6.65,NA,MWE,
1st-class mail,6,6.04,NA,MWE,WhW
20/20 vision,6,6.43,NA,MWE,
2012-13,4,4.29,NA,WhW,
2017-18,5,5.02,NA,WhW,
20s,6,5.95,3.66,W,
20th,7,6.51,3.91,W,
21st,6,6.46,3.74,W,
22-karat gold,6,5.56,NA,MWE,WhW
22nd,7,6.58,3.32,W,
24-hour clock,6,6.08,NA,MWE,WhW
24-hour clocks,6,5.78,NA,MWE,WhW
24th,7,6.67,3.36,W,
25th,7,6.81,3.49,W,
25th wedding anniversaries,5,5.20,NA,MWE,
25th wedding anniversary,6,6.11,NA,MWE,
26th,6,6.37,3.23,W,
29th,7,6.61,3.24,W,
2nd,7,6.80,3.97,W,
30 minutes,7,6.98,NA,MWE,
30th,7,6.87,3.37,W,
31st,7,6.53,3.07,W,
32nd,6,6.11,2.69,W,
35th,6,6.07,2.72,W,
365 days,7,6.98,NA,MWE,
3D printer,7,6.71,NA,MWE,
3D printer,7,6.62,NA,MWE,
3D printing,7,6.78,NA,MWE,
3D scanner,6,6.00,NA,MWE,
3D-printer,6,6.13,NA,WhW,
3rd,7,6.91,3.93,W,
40th,7,6.55,3.00,W,
40th wedding anniversaries,5,5.25,NA,MWE,
40th wedding anniversary,6,5.98,NA,MWE,
42nd,6,5.63,2.83,W,
44th,6,5.78,2.44,W,
45th,6,5.84,2.53,W,
49ers,5,5.30,2.18,W,
4-H Club,4,4.31,NA,MWE,WhW
4th,7,6.67,3.87,W,
50-foot,5,5.20,NA,WhW,
50s,6,6.06,3.57,W,
50th wedding anniversaries,6,5.57,NA,MWE,
50th wedding anniversary,6,6.15,NA,MWE,
5am,6,6.09,2.53,W,
5th,7,6.83,3.80,W,
60s,6,6.15,3.67,W,
60th anniversaries,6,5.66,NA,MWE,
60th anniversary,6,5.89,NA,MWE,
60th wedding anniversaries,5,5.12,NA,MWE,
60th wedding anniversary,6,5.79,NA,MWE,
70s,6,6.47,3.73,W,
8 ball,5,5.00,NA,MWE,
8 ball pool,5,5.22,NA,MWE,
800 number,5,5.14,NA,MWE,
80s,6,6.37,3.79,W,
8-bit,6,5.95,NA,WhW,
90s,7,6.85,3.59,W,
97th,6,5.98,1.83,W,
98th,6,5.94,2.01,W,
a,7,7.00,7.34,W,
a — and a half,6,5.44,NA,MWE,
a — to be reckoned with,4,3.90,NA,MWE,
a bad apple,5,5.35,NA,MWE,
a bad break,5,4.54,NA,MWE,
a bad hair day,6,5.98,NA,MWE,
a bad taste in someone's mouth,4,4.02,NA,MWE,
a bag of bones,4,4.23,NA,MWE,
a bag of tricks,5,4.35,NA,MWE,
a barrel of laughs,5,5.18,NA,MWE,
a battery,6,5.83,NA,MWE,
a bed of roses,5,5.39,NA,MWE,
a big ask,4,4.11,NA,MWE,
a big deal,7,6.70,NA,MWE,
a big fish,6,5.75,NA,MWE,
a big fish in a small pond,4,3.96,NA,MWE,
a big shot,6,5.89,NA,MWE,
a big spender,6,5.66,NA,MWE,
a bigger bang for your buck,5,4.34,NA,MWE,
a bird in the hand is worth two in the bush,5,4.71,NA,MWE,
a bit,7,6.53,NA,MWE,
a bit much,6,5.63,NA,MWE,
a bit of,7,6.63,NA,MWE,
a bit of a,6,6.36,NA,MWE,
a bitch,6,6.43,NA,MWE,
a bite,6,5.89,NA,MWE,
a bite to eat,6,6.18,NA,MWE,
a bitter pill to swallow,5,5.43,NA,MWE,
a blast from the past,6,5.83,NA,MWE,
a blessing in disguise,6,5.76,NA,MWE,
a blind spot,6,6.19,NA,MWE,
a bolt from the blue,4,3.74,NA,MWE,
a bolt out of the blue,5,4.49,NA,MWE,
a bomb,6,5.93,NA,MWE,
a bone of contention,5,4.62,NA,MWE,
a bone to pick,5,5.20,NA,MWE,
a bowl of cherries,5,4.20,NA,MWE,
a brave face,5,5.34,NA,MWE,
a breath of fresh air,6,6.27,NA,MWE,
a bridge too far,4,3.81,NA,MWE,
a bull and cow,5,5.19,NA,MWE,
a bummer,6,5.56,NA,MWE,
a bump in the road,5,5.29,NA,MWE,
a bunch,6,5.85,NA,MWE,
a bunch of baloney,5,5.03,NA,MWE,
a bundle of joy,5,5.03,NA,MWE,
a bundle of nerves,5,4.71,NA,MWE,
a call to arms,5,4.49,NA,MWE,
a can of worms,6,5.62,NA,MWE,
a capella,5,5.45,NA,MWE,
a cappella,5,5.40,NA,MWE,
a cappella singing,6,5.87,NA,MWE,
a card carrying member,5,4.36,NA,MWE,
a card up one's sleeve,5,4.26,NA,MWE,
a card up your sleeve,5,4.77,NA,MWE,
a case of,6,6.20,NA,MWE,
a case of mistaken identity,5,5.48,NA,MWE,
a cash cow,6,5.51,NA,MWE,
a cat has nine lives,6,6.29,NA,MWE,
a chain is only as strong as its weakest link,5,5.29,NA,MWE,
a change of heart,6,5.99,NA,MWE,
a chink in someone's armour,5,4.96,NA,MWE,
a chip off the old block,5,5.43,NA,MWE,
a chip on one's shoulder,5,4.90,NA,MWE,
a chip on your shoulder,5,5.17,NA,MWE,
a class act,5,4.80,NA,MWE,
a class apart,5,4.68,NA,MWE,
a clean bill of health,5,5.17,NA,MWE,
a clean break,5,4.86,NA,MWE,
a clean sweep,5,5.30,NA,MWE,
a close thing,5,4.64,NA,MWE,
a cog in the machine,5,4.78,NA,MWE,
a couple,7,6.82,NA,MWE,
a couple of,7,6.98,NA,MWE,
a credit to,5,4.72,NA,MWE,
a cricket score,3,3.66,NA,MWE,
a cut above,5,4.44,NA,MWE,
a deal of,3,3.63,NA,MWE,
a degree of,7,6.50,NA,MWE,
a diamond in the rough,6,5.68,NA,MWE,
a diamond is forever,5,5.04,NA,MWE,
a dicey situation,5,4.73,NA,MWE,
a dime a dozen,6,5.69,NA,MWE,
a dog and pony show,4,3.66,NA,MWE,
a dog is a man's best friend,7,6.67,NA,MWE,
a dog's life,5,4.70,NA,MWE,
a done deal,6,5.79,NA,MWE,
a dose of your own medicine,6,5.87,NA,MWE,
a double-edged sword,6,5.95,NA,MWE,WhW
a drive,5,4.20,NA,MWE,
a drop in the bucket,6,5.68,NA,MWE,
a drop in the ocean,6,5.70,NA,MWE,
a dry run,5,5.21,NA,MWE,
a dying breed,5,4.66,NA,MWE,
a fact of life,6,5.69,NA,MWE,
a fair deal,6,5.85,NA,MWE,
a far cry from,6,5.61,NA,MWE,
a fat cat,5,5.36,NA,MWE,
a fate worse than death,4,3.98,NA,MWE,
a feather in one's cap,4,4.13,NA,MWE,
a few,7,6.91,NA,MWE,
a few irons in the fire,4,3.94,NA,MWE,
a fighting chance,5,5.35,NA,MWE,
a fine line,6,5.86,NA,MWE,
a fine state of affairs,4,4.25,NA,MWE,
a firm grip,6,5.80,NA,MWE,
a firm hand,5,4.44,NA,MWE,
a fish out of water,5,5.34,NA,MWE,
a flash in the pan,5,4.72,NA,MWE,
a fly in the ointment,3,3.75,NA,MWE,
a fly on the wall,5,5.44,NA,MWE,
a fool's paradise,4,3.97,NA,MWE,
a foot in the door,5,4.77,NA,MWE,
a foregone conclusion,6,5.84,NA,MWE,
a freak-out,5,4.91,NA,MWE,WhW
a free hand,5,4.70,NA,MWE,
a free ride,6,5.61,NA,MWE,
a friend in need is a friend indeed,6,5.82,NA,MWE,
a frog in one's throat,4,3.91,NA,MWE,
a frog in the throat,4,3.95,NA,MWE,
a further,5,3.95,NA,MWE,
a game,1,3.73,NA,MWE,
a gas,5,5.04,NA,MWE,
a gem of,5,4.26,NA,MWE,
a gentleman and a scholar,4,3.95,NA,MWE,
a getaway,6,5.68,NA,MWE,
a ghost of a chance,4,3.94,NA,MWE,
a glutton for punishment,5,5.16,NA,MWE,
a goner,5,5.12,NA,MWE,
a good deal,6,6.21,NA,MWE,
a good deal of,6,6.04,NA,MWE,
a good few,4,3.85,NA,MWE,
a good job,7,6.71,NA,MWE,
a good many,6,5.73,NA,MWE,
a good sport,5,5.29,NA,MWE,
a goof-off,4,4.14,NA,MWE,WhW
a gray area,6,5.84,NA,MWE,
a great deal,6,6.14,NA,MWE,
a great deal of,6,6.49,NA,MWE,
a great many,6,5.84,NA,MWE,
a grey area,6,6.03,NA,MWE,
a grinding halt,5,4.89,NA,MWE,
a hair,5,4.55,NA,MWE,
a hair out of place,4,3.96,NA,MWE,
a halfway house,5,5.15,NA,MWE,
a handful,6,6.03,NA,MWE,
a handful of,7,6.62,NA,MWE,
a hang-up,5,4.69,NA,MWE,WhW
a hard act to follow,5,4.79,NA,MWE,
a hard nut to crack,6,5.76,NA,MWE,
a hard pill to swallow,6,5.62,NA,MWE,
a head start,6,5.98,NA,MWE,
a heartbeat away from,5,4.81,NA,MWE,
a heart-to-heart,5,5.40,NA,MWE,WhW
a heck of a —,5,4.18,NA,MWE,
a heck of a lot,6,6.00,NA,MWE,
a hell of a —,3,3.78,NA,MWE,
a hell of a lot,6,6.16,NA,MWE,
a helping hand,7,6.62,NA,MWE,
a hidden agenda,6,6.07,NA,MWE,
a high-flyer,5,4.93,NA,MWE,WhW
a home from home,3,3.52,NA,MWE,
a hornets' nest,6,5.95,NA,MWE,
a hot potato,5,4.56,NA,MWE,
a house divided cannot stand,5,4.74,NA,MWE,
a house of cards,5,5.28,NA,MWE,
a hundred per cent,7,6.60,NA,MWE,
a hundred times,7,6.69,NA,MWE,
a journey of a thousand miles begins with a single step,5,4.23,NA,MWE,
a kick in the guts,3,3.65,NA,MWE,
a kick in the pants,3,3.73,NA,MWE,
a kick in the stomach,3,3.75,NA,MWE,
a kick in the teeth,5,4.65,NA,MWE,
a kickback,5,4.91,NA,MWE,
a kind of,6,6.41,NA,MWE,
a king's ransom,4,4.32,NA,MWE,
a knight in shining armour,6,6.32,NA,MWE,
a la,4,3.92,NA,MWE,
à la,5,4.68,NA,MWE,
a la carte,6,5.73,NA,MWE,
à la carte,5,5.33,NA,MWE,
a la mode,5,4.98,NA,MWE,
à la mode,5,4.92,NA,MWE,
a labor of love,5,5.00,NA,MWE,
a lack of,7,6.72,NA,MWE,
a large range of,6,5.85,NA,MWE,
a laugh,6,6.13,NA,MWE,
a laugh a minute,4,4.10,NA,MWE,
a leg to stand on,6,5.80,NA,MWE,
a leopard cannot change its spots,5,5.16,NA,MWE,
a leopard can't change his spots,5,5.01,NA,MWE,
a let down,6,5.78,NA,MWE,
A level,6,5.73,NA,MWE,
a level playing field,6,6.16,NA,MWE,
a levels,5,5.09,NA,MWE,
a likely story,3,3.76,NA,MWE,
a line in the sand,5,5.41,NA,MWE,
a little,7,6.97,NA,MWE,
a little bird told me,5,4.74,NA,MWE,
a little birdie told me,3,3.87,NA,MWE,
a little bit,7,6.90,NA,MWE,
a little bit of,7,6.89,NA,MWE,
a load of baloney,5,5.11,NA,MWE,
a lock,5,4.69,NA,MWE,
a lone wolf,6,5.86,NA,MWE,
a long arm,3,3.75,NA,MWE,
a long shot,6,5.73,NA,MWE,
a long time,6,6.40,NA,MWE,
a long way,6,6.11,NA,MWE,
a loose end,5,5.44,NA,MWE,
a lost cause,6,5.98,NA,MWE,
a lot,7,7.00,NA,MWE,
a lot at stake,5,5.17,NA,MWE,
a lot of,7,7.00,NA,MWE,
a lot of baloney,5,4.90,NA,MWE,
a lot on your plate,6,5.60,NA,MWE,
a low profile,6,5.70,NA,MWE,
a lump in my throat,6,5.97,NA,MWE,
a lump in the throat,6,5.85,NA,MWE,
a magic bullet,5,4.60,NA,MWE,
A major,4,4.24,NA,MWE,
a majority of,7,6.89,NA,MWE,
a man after my own heart,3,3.76,NA,MWE,
a man of few words,5,5.27,NA,MWE,
a man of his word,5,5.43,NA,MWE,
a match made in heaven,6,6.03,NA,MWE,
a matter of,7,6.62,NA,MWE,
a matter of course,5,4.69,NA,MWE,
a matter of life and death,6,6.44,NA,MWE,
a matter of life or death,6,6.49,NA,MWE,
a matter of opinion,6,5.92,NA,MWE,
a matter of record,4,3.74,NA,MWE,
a matter of time,6,6.27,NA,MWE,
a means to an end,5,5.34,NA,MWE,
a method to the madness,4,3.87,NA,MWE,
a mile a minute,5,4.42,NA,MWE,
a million times,6,6.07,NA,MWE,
a minority of,6,6.04,NA,MWE,
a mixed bag,5,5.43,NA,MWE,
a mouth to feed,5,4.80,NA,MWE,
a multitude of sins,3,3.56,NA,MWE,
a must,6,5.59,NA,MWE,
a nail in the coffin,5,5.34,NA,MWE,
a nail in the coffin of,5,4.35,NA,MWE,
a nasty piece of work,4,4.04,NA,MWE,
a necessary evil,6,5.85,NA,MWE,
a needle in a haystack,6,5.73,NA,MWE,
a nervous wreck,6,5.69,NA,MWE,
a new dawn,5,5.31,NA,MWE,
a new lease of life,5,5.17,NA,MWE,
a no-brainer,6,6.06,NA,MWE,WhW
a notch above,5,5.16,NA,MWE,
a number of,7,6.97,NA,MWE,
a pack,5,4.54,NA,MWE,
a pair,6,6.28,NA,MWE,
a pair of binoculars,7,6.62,NA,MWE,
a pair of forceps,5,4.94,NA,MWE,
a pair of hedge clippers,6,5.49,NA,MWE,
a pair of pliers,6,6.14,NA,MWE,
a pair of scissors,7,6.98,NA,MWE,
a pair of shears,5,5.25,NA,MWE,
a pair of tongs,5,5.40,NA,MWE,
a pair of trousers,7,6.87,NA,MWE,
a pair of tweezers,6,6.34,NA,MWE,
a pat on the back,6,6.11,NA,MWE,
a peach,6,6.20,NA,MWE,
a penny for your thoughts,3,3.89,NA,MWE,
a penny saved is a penny earned,6,5.95,NA,MWE,
a picture is worth a thousand words,6,6.05,NA,MWE,
a picture paints a thousand words,5,4.33,NA,MWE,
a piece of ass,3,3.63,NA,MWE,
a piece of cake,6,6.16,NA,MWE,
a piece of the action,5,5.04,NA,MWE,
a piece of the pie,6,5.69,NA,MWE,
a pillar of strength,5,5.47,NA,MWE,
a pipe dream,5,5.19,NA,MWE,
a place for everything and everything in its place,5,4.40,NA,MWE,
a play on words,6,6.04,NA,MWE,
a pleasure,6,5.62,NA,MWE,
a plethora of,6,5.79,NA,MWE,
a plum job,3,3.58,NA,MWE,
a plus,5,5.06,NA,MWE,
a pound of flesh,4,4.17,NA,MWE,
a pretty penny,5,5.16,NA,MWE,
a price on someone's head,4,4.41,NA,MWE,
a put-down,6,5.70,NA,MWE,WhW
a quantity of,6,5.97,NA,MWE,
a question of,6,5.89,NA,MWE,
a question of time,5,5.24,NA,MWE,
a quick buck,6,5.59,NA,MWE,
a race against time,6,6.23,NA,MWE,
a race to the bottom,5,5.01,NA,MWE,
a rainy day,7,6.64,NA,MWE,
a range of,6,6.37,NA,MWE,
a rap on the knuckles,4,4.03,NA,MWE,
a raw deal,5,4.86,NA,MWE,
a rebel without a cause,5,4.74,NA,MWE,
a red line,6,5.74,NA,MWE,
a red rag to a bull,4,4.40,NA,MWE,
a ripe old age,5,5.48,NA,MWE,
a rip-off,6,6.07,NA,MWE,WhW
a rising tide lifts all boats,5,4.55,NA,MWE,
a roll in the hay,3,3.57,NA,MWE,
a rolling stone,5,5.37,NA,MWE,
a rolling stone gathers no moss,5,4.85,NA,MWE,
a rotten apple,6,5.47,NA,MWE,
a rotten egg,6,5.72,NA,MWE,
a rough ride,4,3.99,NA,MWE,
a rude awakening,5,5.12,NA,MWE,
a sack of potatoes,6,5.49,NA,MWE,
a sacred cow,5,4.65,NA,MWE,
a sad state of affairs,5,5.44,NA,MWE,
a safe bet,6,5.97,NA,MWE,
a sea change,5,4.69,NA,MWE,
a sec,5,4.90,NA,MWE,
a second thought,6,6.13,NA,MWE,
a senior moment,5,5.34,NA,MWE,
a shame,6,5.98,NA,MWE,
a short fuse,5,5.34,NA,MWE,
a short time,6,5.69,NA,MWE,
a shot in the arm,5,4.88,NA,MWE,
a shot in the dark,5,5.05,NA,MWE,
a shoulder to cry on,6,5.95,NA,MWE,
a shouting match,5,5.22,NA,MWE,
a show of hands,5,5.41,NA,MWE,
a sight for sore eyes,6,5.53,NA,MWE,
a sight to behold,4,4.31,NA,MWE,
a silver bullet,6,5.71,NA,MWE,
a silver lining,6,5.89,NA,MWE,
a silver spoon in your mouth,4,4.02,NA,MWE,
a single,4,4.03,NA,MWE,
a sinking feeling,6,5.55,NA,MWE,
a sinking ship,5,5.04,NA,MWE,
a skeleton in the closet,6,5.58,NA,MWE,
a slap in the face,6,6.06,NA,MWE,
a slap on the back,5,5.33,NA,MWE,
a slap on the wrist,5,5.27,NA,MWE,
a slice of heaven,4,4.38,NA,MWE,
a slice of life,5,4.45,NA,MWE,
a slice of the cake,5,5.17,NA,MWE,
a slip of the tongue,6,5.65,NA,MWE,
a smack in the face,6,5.68,NA,MWE,
a small fortune,6,5.66,NA,MWE,
a smart cookie,5,4.87,NA,MWE,
a smokescreen,5,5.27,NA,MWE,
a smooth landing,5,5.28,NA,MWE,
a snake in the grass,5,4.47,NA,MWE,
a snap decision,5,5.36,NA,MWE,
a snowball's chance in hell,5,5.24,NA,MWE,
a social butterfly,5,5.49,NA,MWE,
