,Idiom,Sentence
28,under the weather,"The picnic had to be postponed because it literally took place under the weather, which was quite stormy that day."
29,under the weather,"The campers had to quickly set up their tents, finding themselves unexpectedly under the weather, as it started raining heavily."
30,under the weather,"The hikers had to seek shelter under a large tree, as they found themselves under the weather when a sudden hailstorm hit."
31,jump through hoops,The circus dog was trained to jump through hoops during the performance.
32,jump through hoops,The gymnast had to jump through hoops as part of her routine.
33,jump through hoops,The children love to play a game where they jump through hoops in the backyard.
34,on the horn,She delicately hung the Christmas ornament on the horn of the reindeer sculpture.
35,on the horn,The little boy was delighted when his dad lifted him to sit on the horn of the saddle.
36,to the bone,"After the accident, the surgeon had to repair the damage to the bone."
37,to the bone,The dog happily gnawed on the steak bone until it was clean to the bone.
38,push the envelope,"During the art project, the teacher instructed the kids to literally push the envelope across the table to their classmates."
39,push the envelope,"In the mail sorting facility, the workers were asked to push the envelope towards the conveyor belt."
40,look on the bright side,"During the blackout, they had to look on the bright side of the street to avoid stumbling on the pavement."
41,look on the bright side,"To take a better photograph, the photographer decided to look on the bright side of the landscape."
42,up to here,The water in the bathtub was filled up to here.
43,up to here,She stacked the books up to here on the shelf.
44,up to here,The graph shows that the prices have risen up to here.
45,night and day,The stars shine bright during the night and day.
46,night and day,She studied night and day to prepare for her exams.
47,head for the hills,"When we saw the wildfire in the distance, we knew we had to head for the hills."
48,head for the hills,"As soon as they reached the edge of the forest, they decided to head for the hills to find a safe place to camp."
49,head for the hills,"Tired and thirsty from their journey, the explorers were relieved to finally head for the hills where they believed water sources were plentiful."
50,pass the buck,"During the charity event, they created a unique activity called 'pass the buck' where participants had to pass a dollar bill around."
51,pass the buck,"In the children's party, one of the fun games was 'pass the buck' where kids had to pass a toy buck from one to another in a race against time."
52,rise from the ashes,"After the forest fire, new sprouts started to rise from the ashes, signaling the rebirth of nature."
53,rise from the ashes,"Documenting the volcanic eruption, scientists examined how life could rise from the ashes in such a hostile environment."
54,rise from the ashes,"In the aftermath of the house fire, amidst the grey landscape, a lone flower managed to rise from the ashes."
55,meat and potatoes,"For dinner, we had a hearty meal of meat and potatoes."
56,meat and potatoes,She decided to cook meat and potatoes for the family gathering.
57,meat and potatoes,The smell of freshly cooked meat and potatoes filled the kitchen.
58,in bed with,"After a long day, he found comfort in bed with a good book."
59,in bed with,"The child loved spending Sunday mornings in bed with her parents, listening to their stories."
60,in bed with,"She spent the entire day in bed with a high fever, unable to get up."
61,in the pink,The flamingo stood out in the pink sunset.
62,in the pink,She looked ethereal in the pink dress she wore to the party.
63,in the pink,"In the pink light of dawn, the world took on a magical hue."
64,go to town,"Every morning, I go to town to buy fresh produce."
65,go to town,"On weekends, my family and I usually go to town to enjoy a meal at our favorite restaurant."
66,go to town,"During the festive season, people go to town to participate in the grand celebrations."
67,heart of gold,"The alchemist, after years of studying, was able to transmute a chunk of lead into a heart of gold."
68,heart of gold,"In the museum's rarest collection, there was a heart of gold, gleaming under the soft lights."
69,heart of gold,The archaeologists were astounded to discover a heart of gold amidst the ancient treasure.
70,par for the course,"In professional golf, the score of 72 is often considered par for the course."
71,par for the course,She managed to hit par for the course in yesterday's tournament.
72,par for the course,"Setting a new record, the young golfer consistently scored below par for the course."
73,out of line,"The fence was out of line with the edge of the property, causing a dispute with the neighbors."
74,out of line,"The painting hanging on the wall was obviously out of line, tilting noticeably to the right."
75,out of line,"Noticing that the text on the page was out of line, she quickly grabbed a ruler to straighten it."
76,stay the course,"Despite the harsh weather conditions, the captain decided to stay the course."
77,stay the course,The hiker was advised to stay the course and not venture off into unknown territory.
78,stay the course,"Even though he was tired, the marathon runner knew he had to stay the course if he wanted to finish the race."
79,smoke and mirrors,"During the haunted house tour, they used a combination of smoke and mirrors to create spine chilling effects."
80,smoke and mirrors,"The art installation was an interesting display of smoke and mirrors, creating alluring light patterns."
81,get to the bottom of,The divers had to swim deeper to get to the bottom of the ocean.
82,get to the bottom of,She was so curious about the long box that she had to remove all the packaging to get to the bottom of it.
83,get to the bottom of,His coin fell into the soda can and he had to pour out all the liquid to finally get to the bottom of the can.
84,by the book,She found the recipe she was looking for by the book on the shelf.
85,by the book,The detective found the crucial piece of evidence by the book in the library.
86,in your face,The soccer ball flew right in your face during the match.
87,in your face,She accidentally threw the pie in your face at the party.
88,in your face,"While playing catch, the frisbee ended up in your face."
89,in the black,"At night, the old mansion looked even more eerie in the black."
90,in the black,"The cat, almost invisible in the black, pounced on the unsuspecting mouse."
91,in the black,"She nervously walked in the black, guided only by the weak beam of her flashlight."
92,hit the nail on the head,"During the construction project, John hit the nail on the head with precision."
93,hit the nail on the head,"With one swift motion, she hit the nail on the head, securing the plank in place."
94,in the driving seat,"After a quick lesson, I was now in the driving seat of the supercar."
95,in the driving seat,Her first time in the driving seat was a nerve-wracking experience.
96,in the driving seat,He quickly adjusted the mirrors as he settled into the driving seat.
97,join the club,"After moving to the new town, Tom decided to join the club to make new friends."
98,join the club,"If you're interested in astronomy, you should join the club that meets every Tuesday at the library."
99,join the club,"Once she saw how much fun they were having, she couldn't resist the urge to join the club."
100,walk the plank,The pirate captain ordered the captive sailor to walk the plank into the shark-infested waters.
101,walk the plank,"In the movie, the villainous pirate king made his prisoners walk the plank as a terrifying form of punishment."
102,eat humble pie,"For his birthday, John decided to literally eat humble pie, a dessert his grandmother used to make from scraps."
103,eat humble pie,"On her cooking show, the host surprised her audience when she announced they were going to eat humble pie, an old traditional dish."
104,eat humble pie,"At the medieval fair, the patrons got to eat humble pie, a dish that was served to the lower classes in the Middle Ages."
105,up the river,We decided to go up the river for a relaxing afternoon paddle.
106,up the river,"She pointed up the river, where the two banks converged into the horizon."
107,up the river,"The old mill was located a few miles up the river, hidden by towering trees."
108,circle the wagons,"During their journey across the prairie, the settlers would circle the wagons every night to create a makeshift fort."
109,look the part,"For his role in the historical drama, he truly did look the part in his knight's armour."
110,look the part,The undercover agent managed to look the part of a notorious gangster by wearing a convincing disguise.
111,look the part,"With her new professional attire and confident demeanor, she was beginning to look the part of a successful businesswoman."
112,moment of truth,"When the detective confronted the suspect with the evidence, it was a moment of truth."
113,all bets are off,"When the casino found out about the fraudulent activities happening at the poker table, all bets are off."
114,all bets are off,"If the horse race is cancelled due to bad weather, all bets are off."
115,knock someone's socks off,"During the pillow fight, he hit her so hard it could knock someone's socks off."
116,on the side of the angels,"In the ancient mural, the knight was depicted as fighting on the side of the angels."
117,on the side of the angels,"During the heavenly battle in the novel, the protagonist chose to stand on the side of the angels."
118,on the side of the angels,"In the film, the character found himself inexplicably on the side of the angels in the celestial war."
119,jump on the bandwagon,"When the circus came to town, all the children wanted to jump on the bandwagon."
120,jump on the bandwagon,She was so excited about the parade that she couldn't resist the urge to jump on the bandwagon.
121,jump on the bandwagon,He lost his balance and had to jump on the bandwagon to avoid falling.
122,turn the other cheek,"During the boxing match, he had to quickly turn the other cheek to avoid the incoming punch."
123,raise the roof,"During the renovation, they decided to raise the roof to create a more spacious living area."
124,raise the roof,The architect's innovative design required them to raise the roof of the old building.
125,raise the roof,The construction workers had to raise the roof to install the new insulation material.
126,do the right thing,"Despite facing numerous obstacles, he always tried to do the right thing."
127,do the right thing,"In a complex situation, it's often difficult to know how to do the right thing."
128,do the right thing,She was praised by her family for always trying to do the right thing.
129,on the square,The children were playing hopscotch on the square.
130,on the square,The market on the square was bustling with people.
131,on the square,"He set up his food stall on the square, hoping for a busy day."
132,pick up the pieces,"After the plate fell and shattered, I had to carefully pick up the pieces."
133,pick up the pieces,"The wind knocked over the vase, and my dad had to pick up the pieces off the floor."
134,pick up the pieces,"When the picture frame broke, it was my job to pick up the pieces."
135,touch and go,"During the robotics competition, the task of the robot was to touch and go a series of objects without toppling them over."
136,off and running,"As soon as the gates opened, the thoroughbred was off and running."
137,off and running,"The moment the soccer player saw an opening, he was off and running towards the goal."
138,off and running,"When the school bell rang, the children were off and running towards the playground."
139,horses for courses,"The horse racing event had different horses for courses, each expertly trained for their specific track."
140,horses for courses,The trainer picked different horses for courses to increase their chance of winning.
141,horses for courses,"In the equestrian center, there were different horses for courses, some for jumping and others for dressage."
142,wipe the slate clean,"After the chalk drawings were done, the teacher told the students to wipe the slate clean for the next class."
143,wipe the slate clean,"Before starting a new game of tic-tac-toe, it was necessary to wipe the slate clean."
144,wipe the slate clean,"Even though she had written her thoughts down, she decided to wipe the slate clean and start her poem anew."
145,hit the jackpot,"When he played the slot machine in Las Vegas, he literally hit the jackpot."
146,hit the jackpot,She couldn't believe her eyes when she hit the jackpot on her first try at the lottery.
147,hit the jackpot,"After hours at the casino, he finally hit the jackpot and the room lit up with sirens and lights."
148,round the bend,"I decided to take a leisurely walk and just as I went 'round the bend, I spotted a beautiful deer."
149,round the bend,The scenic drive 'round the bend offered breathtaking views of the sunset.
150,round the bend,"As we paddled our canoe 'round the bend, a vast, serene lake came into view."
151,go for the jugular,"The tiger did not hesitate to go for the jugular, swiftly ending its prey's struggle."
152,go for the jugular,"In a shocking spectacle, the vampire decided to go for the jugular, drinking the victim's blood with a chilling satisfaction."
153,go for the jugular,"During the reptile show, the snake trainer explained how some venomous species will go for the jugular when attacking their prey."
154,nip and tuck,"The tailor worked diligently, nip and tuck, to alter the oversized suit."
155,nip and tuck,"With each nip and tuck, the plastic surgeon transformed the patient's appearance."
156,nip and tuck,The quilting process involves a careful nip and tuck of fabric to create intricate patterns.
157,throw the baby out with the bathwater,"In a wild rush to empty the tub, he nearly managed to throw the baby out with the bathwater."
158,throw the baby out with the bathwater,"Careless as she was, she was almost about to throw the baby out with the bathwater."
159,out of order,The elevator is out of order so we'll need to use the stairs.
160,out of order,"I'm sorry, the photocopy machine is out of order at the moment."
161,out of order,"The restroom is out of order, you'll need to use the one on the next floor."
162,muddy the waters,The heavy rain started to muddy the waters of the once clear creek.
163,muddy the waters,"His careless steps along the riverbank began to muddy the waters, obscuring the view of the lake bed."
164,muddy the waters,"The construction runoff threatened to muddy the waters of the nearby pond, much to the dismay of local residents."
165,move the goalposts,"During the football match, the groundskeeper had to move the goalposts due to unexpected turf damage."
166,move the goalposts,The city park team had to move the goalposts to make space for the new basketball court.
167,move the goalposts,It took a lot of effort to move the goalposts to the other side of the field for the junior league game.
168,hair of the dog,"The puppy was so fluffy, it was difficult to differentiate between the hair of the dog and the plush toys in the room."
169,hair of the dog,He spent the afternoon carefully combing out the tangled hair of the dog to make it look presentable.
170,hair of the dog,"She found that the hair of the dog was sticking to her black dress, creating a contrast that was hard to ignore."
171,have someone's number,I found the old address book and now I have someone's number.
172,neither here nor there,"The map indicated that the treasure was neither here nor there, leaving us completely clueless."
173,neither here nor there,"In the vast desert, one could say that water is neither here nor there."
174,neither here nor there,"The bird, confused and disoriented by the storm, found that its home was neither here nor there."
175,out of the woods,"After a long day of hiking, they finally made their way out of the woods."
176,out of the woods,"The cabin sat just out of the woods, surrounded by a beautiful meadow."
177,out of the woods,He could see the sunlight filtering through the trees as he walked out of the woods.
178,sit on the fence,"During the picnic, my cousin decided to sit on the fence, enjoying his ice cream."
179,sit on the fence,Birds often sit on the fence in my backyard during the early morning hours.
180,sit on the fence,"After painting the wooden fence, we had to make sure no one would sit on the fence until it was completely dry."
181,keep the peace,The new treaty was signed by both nations to keep the peace and prevent another war.
182,keep the peace,The role of the United Nations peacekeeping forces is to keep the peace in regions affected by conflict.
183,six feet under,The treasure chest was buried six feet under the sandy beach.
184,six feet under,You'll find the time capsule six feet under the old oak tree.
185,six feet under,The buried pipeline runs six feet under the surface of the ground.
186,dead and buried,The victim was dead and buried two days after the tragic accident.
187,dead and buried,They found ancient artifacts from a civilization that's long dead and buried.
188,dead and buried,The missing man was later discovered to be dead and buried in a remote forest.
189,down in the dumps,"After losing his job, he spent his days down in the dumps, searching for anything he could salvage."
190,down in the dumps,"The homeless man made his shelter down in the dumps, trying to stay warm amidst the garbage."
191,down in the dumps,"The detective followed the suspect down in the dumps, hoping to find some discarded evidence."
192,know the score,"Before the game ended, they wanted to know the score."
193,know the score,"Even though she was late, she quickly asked to know the score."
194,know the score,He called his friend during halftime to know the score.
195,oil and water,"The two liquids separated into distinct layers, like oil and water."
196,oil and water,"He attempted to mix the vinegar with the oil and water, but they remained separate."
197,oil and water,"In the science experiment, the students observed how oil and water refused to combine."
198,add fuel to the fire,"While camping, John used some dry wood to add fuel to the fire."
199,add fuel to the fire,The chef had to add fuel to the fire to keep his barbecue going.
200,add fuel to the fire,"In the cold winter night, they had to constantly add fuel to the fire to stay warm."
201,power behind the throne,"The king may rule the kingdom, but it is the queen who is the real power behind the throne."
202,power behind the throne,"Even though he was not officially the ruler, his influence was so great that he was often referred to as the power behind the throne."
203,power behind the throne,"Despite his lack of formal title or position, he was the power behind the throne, guiding the nation's decisions and policies."
204,blood and guts,The horror movie was filled with scenes of blood and guts.
205,blood and guts,The surgeon spent hours wading through blood and guts trying to save the patient's life.
206,blood and guts,The crime scene investigators had to photograph the blood and guts at the scene for evidence.
207,strike while the iron is hot,"As a blacksmith, you must learn to strike while the iron is hot to shape it effectively."
208,strike while the iron is hot,"If you don't strike while the iron is hot, the metal will cool and harden, making it impossible to work with."
209,on the hop,"The rabbit was constantly on the hop, searching for food."
210,on the hop,"She watched the young children on the hop, playing a game of leapfrog in the garden."
211,on the hop,"The kangaroo stayed on the hop, swiftly moving across the vast Australian outback."
212,all over the map,"The treasure was said to be scattered all over the map, causing adventurers to search high and low."
213,all over the map,"In the strategy game, his troops were positioned all over the map to have control over every territory."
214,all over the map,"When she looked at the geography test, she realized that the questions were about places all over the map."
215,let the cat out of the bag,"During her move, Samantha had to let the cat out of the bag after it had crawled in amongst the linens."
216,let the cat out of the bag,"While unpacking groceries, Ben had to momentarily let the cat out of the bag, as it had sneakily found its way in."
217,let the cat out of the bag,"Amy gasped in surprise when she opened her birthday present, only to let the cat out of the bag, having been tricked by her siblings."
218,blaze a trail,The adventurous explorers had to blaze a trail through the dense jungle to reach the hidden ruins.
219,blaze a trail,The scout leader taught the young boys how to blaze a trail in the wilderness for future hiking expeditions.
220,blaze a trail,"During their escape from the disorienting labyrinth, they had to blaze a trail to ensure they would not circle back to the same spot."
221,on the bounce,"The ball rolled down the hill, hit the rock, and continued on the bounce for a few more meters."
222,on the bounce,The young boy was kicking the soccer ball on the bounce for his afternoon practice.
223,on the bounce,"The kitten pounced on the bounce of the toy mouse, causing it to fly across the room."
224,at a canter,"The horse moved around the field at a canter, showing off its agility."
225,at a canter,"She practiced her horse riding skills at a canter, gaining confidence with every step."
226,at a canter,"As the sun set, we saw a lone stallion approaching at a canter, its silhouette majestic against the fading light."
227,out to lunch,He asked his secretary to cover his phone calls because he was out to lunch.
228,out to lunch,"Every day at noon, the office was quiet because everyone was out to lunch."
229,out to lunch,She forgot her wallet on the table when she went out to lunch.
230,twist someone's arm,"In the brawl, he managed to twist someone's arm and wrestle them to the ground."
231,twist someone's arm,"She was so strong, she could easily twist someone's arm if she wanted to."
232,twist someone's arm,"During their playful wrestle, he accidentally twist someone's arm causing them to yelp in surprise."
233,swings and roundabouts,The local park has new swings and roundabouts for the children to enjoy.
234,swings and roundabouts,"During our holiday, we found a charming playground filled with swings and roundabouts."
235,swings and roundabouts,The kindergarteners love recess because they get to play on the swings and roundabouts.
236,on the ball,"While cleaning the backyard, I found a small crystal ball sitting on the ball used for last summer's pool games."
237,on the ball,"The circus performer successfully balanced herself on the ball, to the audience's amazement."
238,rob Peter to pay Paul,"In an act of desperation, he decided to literally rob Peter to pay Paul his overdue debt."
239,rob Peter to pay Paul,"The police were shocked to uncover the bizarre case where John had decided to rob Peter to pay Paul, leaving both parties equally disgruntled."
240,rob Peter to pay Paul,"Despite his good intentions, Tom found himself in a predicament after choosing to rob Peter to pay Paul, creating more trouble than resolution."
241,ring a bell,"When she entered the church, she was asked to ring a bell."
242,ring a bell,"Every morning at 7 am, John would ring a bell to start the day's work."
243,ring a bell,The teacher would ring a bell to signal the end of recess.
244,to die for,"In the ancient times, warriors often went to battle knowing they were likely to die for their king and kingdom."
245,to die for,The secret agent was prepared to die for his country to protect its secrets.
246,to die for,The brave soldier declared he was ready to die for the cause of freedom.
247,everything but the kitchen sink,"During the move, they packed everything but the kitchen sink into the moving van."
248,spend a penny,I decided to spend a penny on a wish at the fountain.
249,spend a penny,It's amazing you can still spend a penny to get a candy from the machine.
250,spend a penny,"To test the durability of the coin, they had to spend a penny."
251,in black and white,"The photograph was in black and white, providing a nostalgic feel to the scene."
252,in black and white,He often preferred watching films in black and white to appreciate the classic cinema.
253,in black and white,The artist chose to paint the landscape in black and white to emphasise the contrast.
254,doom and gloom,The haunted house was filled with an atmosphere of doom and gloom.
255,doom and gloom,The sky was filled with doom and gloom as the storm approached.
256,doom and gloom,The forest at night encapsulated a sense of doom and gloom.
257,keep tabs on,"As a project manager, it's essential for me to keep tabs on all ongoing projects."
258,keep tabs on,The police officer decided to keep tabs on the suspect's activities.
259,keep tabs on,The teacher uses an online platform to keep tabs on her students' progress.
260,get the picture,"After the artist finished his masterpiece, I was eager to get the picture."
261,get the picture,The photographer told me to stay still while he adjusted the camera to get the picture.
262,get the picture,"The museum had tight security, but I managed to get the picture I wanted for my project."
263,look the other way,"While crossing the busy street, I had to constantly look the other way to avoid oncoming traffic."
264,look the other way,She told him to look the other way while she changed her clothes.
265,look the other way,"While playing hide and seek, John had to look the other way while his friends hid."
266,burst someone's bubble,The children were playing when a naughty boy decided to burst someone's bubble.
267,burst someone's bubble,She quickly reached out and burst someone's bubble that was floating too close to her face.
268,burst someone's bubble,"During the street fair, a gust of wind burst someone's bubble that was part of the bubble show."
269,fall in line,The children were asked to fall in line before they entered the classroom.
270,fall in line,"During the fire drill, the students were told to fall in line quickly and quietly."
271,fall in line,The soldiers were commanded to fall in line for the morning inspection.
272,water under the bridge,"The strong current swiftly swept the debris, transforming it into water under the bridge."
273,water under the bridge,"As the kids threw pebbles into the river from above, they watched as they became mere water under the bridge."
274,water under the bridge,"The artist sat quietly, capturing the serene scene of the water under the bridge."
275,keep a lid on,"After cooking the soup, she told her assistant to keep a lid on the pot to retain the heat."
276,keep a lid on,The instruction manual for the new pressure cooker emphasised to always keep a lid on when in use to prevent accidents.
277,keep a lid on,"To avoid spills when transporting the container, it's essential to keep a lid on it."
278,down the drain,"While washing her dishes, Jane accidentally let her wedding ring slip down the drain."
279,down the drain,The plumber had to use a special tool to retrieve a child's toy that had fallen down the drain.
280,down the drain,"While rinsing his paint brushes, Tom watched as the colourful water swirled down the drain."
281,make the cut,"After hours of meticulous work, the tailor was finally able to make the cut for the bespoke suit."
282,make the cut,"As a chef, it's important to make the cut correctly to ensure the meat cooks evenly."
283,make the cut,"The sculptor took a deep breath, knowing he had one chance to make the cut right on the marble."
284,free and easy,"The park was open for everyone, offering a free and easy access to nature's beauty."
285,free and easy,He found the software online; it was free and easy to use.
286,free and easy,The seminar offered free and easy learning opportunities for all attendees.
287,with a vengeance,"When she realized she had been cheated on, her anger returned with a vengeance."
288,cut both ways,"The double-edged sword was designed to cut both ways, which made it a deadly weapon in any fight."
289,cut both ways,"During the cooking class, the chef demonstrated how to use a dual-sided peeler that could cut both ways."
290,cut both ways,"While hiking, I always carry a knife that can cut both ways to help me navigate the wilderness."
291,sing the praises of,The choir decided to sing the praises of the Lord in their Sunday service.
292,sing the praises of,"At Christmas, families gather around the fireplace to sing the praises of the holiday season."
293,sing the praises of,"In the tranquil night, the devotees gathered in the temple to sing the praises of their gods."
294,hold the line,"During the fishing trip, he had to hold the line tightly to prevent the big fish from escaping."
295,pull the plug,"While cleaning, she had to carefully pull the plug from the socket to avoid an electrical shock."
296,pull the plug,The electrician instructed me to pull the plug before he began working on the wiring.
297,pull the plug,"Accidentally, the puppy managed to pull the plug of the television out from the wall socket."
298,make a move,"After contemplating for a while, John decided to make a move in the chess game."
299,make a move,"Seeing that the traffic light had turned green, the driver decided to make a move."
300,make a move,"During the dance class, the instructor asked the students to make a move in time with the music."
301,make a meal of,I decided to make a meal of fresh vegetables from the garden.
302,make a meal of,"She taught her kids how to make a meal of simple, healthy ingredients."
303,make a meal of,They had to make a meal of whatever food was left in the pantry.
304,the icing on the cake,"After baking the sponge for an hour, she proceeded to prepare the icing on the cake."
305,the icing on the cake,"The colorful sprinkles were a lovely addition, but it was really the icing on the cake that brought the taste together."
306,the icing on the cake,"As a final touch to his masterpiece, the baker skillfully applied the icing on the cake."
307,in the red,The entire city was bathed in the red glow of the sunset.
308,in the red,"She edited the document, marking all the corrections in the red pen."
309,in the red,"Wrapped in the red silk dress, she looked absolutely stunning."
310,feel the pinch,"When I accidentally sat on my keys, I could really feel the pinch."
311,feel the pinch,"If you wear shoes that are too small, you'll definitely feel the pinch."
312,feel the pinch,"When the crab clamped down on my finger, I could feel the pinch."
313,under the microscope,The scientist spent hours examining the tissue sample under the microscope.
314,under the microscope,She found the previously undiscovered bacterial strain under the microscope.
315,under the microscope,"Under the microscope, the molecular structure became clear."
316,pay the piper,"After the performance, the event organizer had to pay the piper for his services."
317,pay the piper,"She forgot to pay the piper at her wedding, and then had to rush back to the venue."
318,pay the piper,"If you want the piper to play at your festival, remember, you have to pay the piper."
319,on the trot,The horse was on the trot heading towards the finish line.
320,on the trot,The rider kept his horse on the trot as he surveyed the landscape.
321,on the trot,"She spent the morning on the trot, practicing for her upcoming competition."
322,peaches and cream,She decided to make a delicious summer dessert using fresh peaches and cream.
323,peaches and cream,The taste of ripe peaches and cream melting in her mouth reminded her of her childhood.
324,toe the line,"During the race, all the runners were instructed to toe the line before the start signal was given."
325,toe the line,"When performing the sobriety test, the officer asked the man to toe the line to check his balance."
326,grasp the nettle,"While exploring the dense forest, I had to literally grasp the nettle to move it out of my path."
327,grasp the nettle,The botanist had to carefully grasp the nettle to study its unique characteristics.
328,grasp the nettle,"During our camping trip, Susan had to bravely grasp the nettle to clear the way for our tent."
329,high and mighty,"The eagle, high and mighty, soared above the vast forest."
330,high and mighty,"The mountain stood high and mighty, casting a long shadow over the valley."
331,high and mighty,"The skyscraper, high and mighty, dominated the city skyline."
332,in the hole,The children spent the afternoon playing in the hole they had dug at the beach.
333,in the hole,She dropped her keys in the hole and couldn't reach them.
334,in the hole,"The rabbit disappeared in the hole, escaping from the fox."
335,take the fall,"During the hiking trip, Joe slipped on a rock and had to take the fall into the river below."
336,take the fall,"In an attempt to showcase his parkour skills, he decided to take the fall from the rooftop."
337,take the fall,"While practicing her gymnastics routine, she misjudged her landing and had to take the fall on the mat."
338,in the offing,"The ship was in the offing, soon to dock at the harbor."
339,in the offing,"Through the mist, I could just make out a lighthouse in the offing."
340,in the offing,"As the sun set, a small fishing boat was spotted in the offing, heading back to shore."
341,ride roughshod over,"The reckless horseman decided to ride roughshod over the soft meadow, damaging the fragile flowers in his path."
342,ride roughshod over,"In the wild west, outlaws would often ride roughshod over the boundaries of farms, causing mayhem and destruction."
343,ride roughshod over,"Despite the warnings, the knight chose to ride roughshod over the freshly planted fields, leaving the farmers in despair."
344,crash and burn,"During the air show, the plane spiraled out of control and we watched in horror as it was about to crash and burn."
345,crash and burn,"The race car driver lost control of the wheel, leading his car to crash and burn."
346,crash and burn,"The rocket malfunctioned during launch, resulting in a devastating crash and burn."
347,dyed in the wool,"The artisan had a collection of yarn, dyed in the wool, for her weaving workshop."
348,dyed in the wool,"In the small village, they practiced an ancient technique of getting vibrant colors dyed in the wool."
349,dyed in the wool,The hues of the sunset were as radiant as the colors dyed in the wool hanging in her studio.
350,fight fire with fire,"As a firefighter, he was taught to fight fire with fire, using controlled burns to stop the spread of a wildfire."
351,fight fire with fire,"But in this case, the only option was to fight fire with fire, igniting a backfire to halt its destructive path."
352,fight fire with fire,"Despite the risks, they had to fight fire with fire, using the same force the fire was using to consume the forest."
353,all over the place,"After the kids' party, there were crumbs and wrappers all over the place."
354,all over the place,"When the earthquake struck, books were thrown all over the place."
355,all over the place,The artist splashed paint all over the place to create his abstract piece.
356,grind to a halt,The heavy machinery began to squeak loudly before it started to grind to a halt.
357,grind to a halt,The old rusty bike would often grind to a halt after a few minutes of usage.
358,grind to a halt,The train screeched and slowly began to grind to a halt at the station.
359,in a nutshell,The tiny seed was encased in a nutshell.
360,in a nutshell,He found a small creature living in a nutshell.
361,rise and shine,"As soon as the sun began to rise and shine, the entire valley was bathed in a golden glow."
362,take a back seat,"The toddler refused to sit in his car seat, so his mom had to take a back seat with him."
363,take a bath,"After a long day at work, all I wanted to do was to take a bath and go to bed."
364,take a bath,My mother reminded me to take a bath before dinner.
365,take a bath,I like to take a bath with lavender oil and Epsom salts for relaxation.
366,bury the hatchet,"In an odd ritual, the group decided to bury the hatchet deep in the soil as a symbol of peace."
367,bury the hatchet,"The children, playing pirates, drew a map to where they would bury the hatchet, their imagined treasure."
368,in the soup,"After our picnic, we accidentally dropped the phone in the soup."
369,in the soup,She was trying to retrieve the ladle that had fallen in the soup.
370,in the soup,The chef was furious when he found a fly in the soup.
371,grease the wheels,"Before the long car journey, John had to grease the wheels to ensure a smooth ride."
372,grease the wheels,"In the old mill, it was necessary to frequently grease the wheels to keep the machinery working."
373,grease the wheels,"The bicycle was making a screeching noise, so I had to grease the wheels."
374,apples and oranges,My grandmother prepared a healthy snack of apples and oranges.
375,apples and oranges,The fruit basket was filled with brightly colored apples and oranges.
376,follow in someone's footsteps,The little boy was always eager to follow in his father's footsteps during their beach walks.
377,follow in someone's footsteps,"During the hike, she was careful to follow in her guide's footsteps to avoid stepping on dangerous plants."
378,follow in someone's footsteps,"As an astronaut, he had to follow in his commander's footsteps during their moon landing."
379,under the wire,The rabbit darted under the wire fence to escape the pursuing fox.
380,under the wire,"After cutting a small hole, the spy crawled under the wire to infiltrate the enemy base."
381,under the wire,The vine grew so tall that it eventually twined under the wire of the trellis.
382,out of the blue,"While sailing, a huge whale leaped out of the blue ocean, startling everyone on the boat."
