ID,Idiom,Sentence,Acceptance (Y/N),Unaccept,Skips,Annotator,Proposed Changes
EXP170,get to the bottom of,She was so curious about the long box that she had to remove all the packaging to get to the bottom of it.,Y,,,MM,
EXP171,get to the bottom of,His coin fell into the soda can and he had to pour out all the liquid to finally get to the bottom of the can.,Y,,,MM,
EXP172,by the book,She found the recipe she was looking for by the book on the shelf.,Y,,,MM,
EXP174,by the book,The detective found the crucial piece of evidence by the book in the library.,Y,,,MM,
EXP175,in your face,The soccer ball flew right in your face during the match.,Y,,,MM,
EXP176,in your face,She accidentally threw the pie in your face at the party.,Y,,,MM,
EXP177,in your face,"While playing catch, the frisbee ended up in your face.",Y,,,MM,
EXP181,in the black,"At night, the old mansion looked even more eerie in the black.",Y,,,MM,
EXP182,in the black,"The cat, almost invisible in the black, pounced on the unsuspecting mouse.",Y,,,MM,
EXP183,in the black,"She nervously walked in the black, guided only by the weak beam of her flashlight.",Y,,,MM,
EXP184,hit the nail on the head,"During the construction project, John hit the nail on the head with precision.",Y,,,MM,
EXP185,hit the nail on the head,"With one swift motion, she hit the nail on the head, securing the plank in place.",Y,,,MM,
EXP187,in the driving seat,"After a quick lesson, I was now in the driving seat of the supercar.",Y,,,MM,
EXP188,in the driving seat,Her first time in the driving seat was a nerve-wracking experience.,Y,,,MM,
EXP189,in the driving seat,He quickly adjusted the mirrors as he settled into the driving seat.,Y,,,MM,
EXP190,join the club,"After moving to the new town, Tom decided to join the club to make new friends.",Y,,,MM,
EXP191,join the club,"If you're interested in astronomy, you should join the club that meets every Tuesday at the library.",Y,,,MM,
EXP192,join the club,"Once she saw how much fun they were having, she couldn't resist the urge to join the club.",Y,,,MM,
EXP193,walk the plank,The pirate captain ordered the captive sailor to walk the plank into the shark-infested waters.,Y,,,MM,
EXP194,walk the plank,"In the movie, the villainous pirate king made his prisoners walk the plank as a terrifying form of punishment.",Y,,,MM,
EXP196,eat humble pie,"For his birthday, John decided to literally eat humble pie, a dessert his grandmother used to make from scraps.",Y,,,MM,
EXP197,eat humble pie,"On her cooking show, the host surprised her audience when she announced they were going to eat humble pie, an old traditional dish.",Y,,,MM,
EXP198,eat humble pie,"At the medieval fair, the patrons got to eat humble pie, a dish that was served to the lower classes in the Middle Ages.",Y,,,MM,
EXP199,up the river,We decided to go up the river for a relaxing afternoon paddle.,Y,,,MM,
EXP200,up the river,"She pointed up the river, where the two banks converged into the horizon.",Y,,,MM,
EXP201,up the river,"The old mill was located a few miles up the river, hidden by towering trees.",Y,,,MM,
EXP210,circle the wagons,"During their journey across the prairie, the settlers would circle the wagons every night to create a makeshift fort.",Y,,,BC,
EXP211,blow off steam,"The malfunctioning boiler started to blow off steam, causing a loud hissing noise.",Y,,,BC,
EXP212,blow off steam,"During the train ride, the kids were excited to see the old locomotive blow off steam.",Y,,,BC,
EXP213,blow off steam,The kettle began to blow off steam as soon as the water reached boiling point.,Y,,,BC,
EXP217,look the part,"For his role in the historical drama, he truly did look the part in his knight's armour.",Y,,,BC,
EXP218,look the part,The undercover agent managed to look the part of a notorious gangster by wearing a convincing disguise.,Y,,,BC,
EXP219,look the part,"With her new professional attire and confident demeanor, she was beginning to look the part of a successful businesswoman.",Y,,,BC,
EXP222,moment of truth,"When the detective confronted the suspect with the evidence, it was a moment of truth.",Y,,,BC,
EXP226,all bets are off,"When the casino found out about the fraudulent activities happening at the poker table, all bets are off.",Y,,,MM,
EXP227,all bets are off,"If the horse race is cancelled due to bad weather, all bets are off.",Y,,,MM,
EXP229,knock someone's socks off,"During the pillow fight, he hit her so hard it could knock someone's socks off.",Y,,,MM,
EXP232,on the side of the angels,"In the ancient mural, the knight was depicted as fighting on the side of the angels.",Y,,,MM,
EXP233,on the side of the angels,"During the heavenly battle in the novel, the protagonist chose to stand on the side of the angels.",Y,,,MM,
EXP234,on the side of the angels,"In the film, the character found himself inexplicably on the side of the angels in the celestial war.",Y,,,MM,
EXP235,jump on the bandwagon,"When the circus came to town, all the children wanted to jump on the bandwagon.",Y,,,MM,
EXP236,jump on the bandwagon,She was so excited about the parade that she couldn't resist the urge to jump on the bandwagon.,Y,,,MM,
EXP237,jump on the bandwagon,He lost his balance and had to jump on the bandwagon to avoid falling.,Y,,,MM,
EXP238,turn the other cheek,"During the boxing match, he had to quickly turn the other cheek to avoid the incoming punch.",Y,,,MM,
EXP241,raise the roof,"During the renovation, they decided to raise the roof to create a more spacious living area.",Y,,,MM,
EXP242,raise the roof,The architect's innovative design required them to raise the roof of the old building.,Y,,,MM,
EXP243,raise the roof,The construction workers had to raise the roof to install the new insulation material.,Y,,,MM,
EXP244,do the right thing,"Despite facing numerous obstacles, he always tried to do the right thing.",Y,,,MM,
EXP245,do the right thing,"In a complex situation, it's often difficult to know how to do the right thing.",Y,,,MM,
EXP246,do the right thing,She was praised by her family for always trying to do the right thing.,Y,,,MM,
EXP247,on the square,The children were playing hopscotch on the square.,Y,,,MM,
EXP248,on the square,The market on the square was bustling with people.,Y,,,MM,
EXP249,on the square,"He set up his food stall on the square, hoping for a busy day.",Y,,,MM,
EXP253,pick up the pieces,"After the plate fell and shattered, I had to carefully pick up the pieces.",Y,,,MM,
EXP254,pick up the pieces,"The wind knocked over the vase, and my dad had to pick up the pieces off the floor.",Y,,,MM,
EXP255,pick up the pieces,"When the picture frame broke, it was my job to pick up the pieces.",Y,,,MM,
EXP258,touch and go,"During the robotics competition, the task of the robot was to touch and go a series of objects without toppling them over.",Y,,,MM,
EXP259,off and running,"As soon as the gates opened, the thoroughbred was off and running.",Y,,,MM,
EXP260,off and running,"The moment the soccer player saw an opening, he was off and running towards the goal.",Y,,,MM,
EXP261,off and running,"When the school bell rang, the children were off and running towards the playground.",Y,,,MM,
EXP262,horses for courses,"The horse racing event had different horses for courses, each expertly trained for their specific track.",Y,,,MM,
EXP263,horses for courses,The trainer picked different horses for courses to increase their chance of winning.,Y,,,MM,
EXP264,horses for courses,"In the equestrian center, there were different horses for courses, some for jumping and others for dressage.",Y,,,MM,
EXP271,wipe the slate clean,"After the chalk drawings were done, the teacher told the students to wipe the slate clean for the next class.",Y,,,MM,
EXP272,wipe the slate clean,"Before starting a new game of tic-tac-toe, it was necessary to wipe the slate clean.",Y,,,MM,
EXP273,wipe the slate clean,"Even though she had written her thoughts down, she decided to wipe the slate clean and start her poem anew.",Y,,,MM,
EXP274,hit the jackpot,"When he played the slot machine in Las Vegas, he literally hit the jackpot.",Y,,,MM,
EXP275,hit the jackpot,She couldn't believe her eyes when she hit the jackpot on her first try at the lottery.,Y,,,MM,
EXP276,hit the jackpot,"After hours at the casino, he finally hit the jackpot and the room lit up with sirens and lights.",Y,,,MM,
EXP277,round the bend,"I decided to take a leisurely walk and just as I went 'round the bend, I spotted a beautiful deer.",Y,,,MM,
EXP278,round the bend,The scenic drive 'round the bend offered breathtaking views of the sunset.,Y,,,MM,
EXP279,round the bend,"As we paddled our canoe 'round the bend, a vast, serene lake came into view.",Y,,,MM,
EXP280,go for the jugular,"The tiger did not hesitate to go for the jugular, swiftly ending its prey's struggle.",Y,,,MM,
EXP281,go for the jugular,"In a shocking spectacle, the vampire decided to go for the jugular, drinking the victim's blood with a chilling satisfaction.",Y,,,MM,
EXP282,go for the jugular,"During the reptile show, the snake trainer explained how some venomous species will go for the jugular when attacking their prey.",Y,,,MM,
EXP283,nip and tuck,"The tailor worked diligently, nip and tuck, to alter the oversized suit.",Y,,,MM,
EXP284,nip and tuck,"With each nip and tuck, the plastic surgeon transformed the patient's appearance.",Y,,,MM,
EXP285,nip and tuck,The quilting process involves a careful nip and tuck of fabric to create intricate patterns.,Y,,,MM,
EXP286,throw the baby out with the bathwater,"In a wild rush to empty the tub, he nearly managed to throw the baby out with the bathwater.",Y,,,MM,
EXP287,throw the baby out with the bathwater,"Careless as she was, she was almost about to throw the baby out with the bathwater.",Y,,,MM,
EXP289,out of order,The elevator is out of order so we'll need to use the stairs.,Y,,,MM,
EXP290,out of order,"I'm sorry, the photocopy machine is out of order at the moment.",Y,,,MM,
EXP291,out of order,"The restroom is out of order, you'll need to use the one on the next floor.",Y,,,MM,
EXP295,muddy the waters,The heavy rain started to muddy the waters of the once clear creek.,Y,,,MM,
EXP296,muddy the waters,"His careless steps along the riverbank began to muddy the waters, obscuring the view of the lake bed.",Y,,,MM,
EXP297,muddy the waters,"The construction runoff threatened to muddy the waters of the nearby pond, much to the dismay of local residents.",Y,,,MM,
EXP301,move the goalposts,"During the football match, the groundskeeper had to move the goalposts due to unexpected turf damage.",Y,,,MM,
EXP302,move the goalposts,The city park team had to move the goalposts to make space for the new basketball court.,Y,,,MM,
EXP303,move the goalposts,It took a lot of effort to move the goalposts to the other side of the field for the junior league game.,Y,,,MM,
EXP304,hair of the dog,"The puppy was so fluffy, it was difficult to differentiate between the hair of the dog and the plush toys in the room.",Y,,,MM,
EXP305,hair of the dog,He spent the afternoon carefully combing out the tangled hair of the dog to make it look presentable.,Y,,,MM,
EXP306,hair of the dog,"She found that the hair of the dog was sticking to her black dress, creating a contrast that was hard to ignore.",Y,,,MM,
EXP307,have someone's number,I found the old address book and now I have someone's number.,Y,,,MM,
EXP308,have someone's number,Could you please tell me if you have someone's number that can fix a car?,Y,,,MM,
EXP309,have someone's number,"Despite losing my phone, I still have someone's number written down on a piece of paper.",Y,,,MM,
EXP310,neither here nor there,"The map indicated that the treasure was neither here nor there, leaving us completely clueless.",Y,,,MM,
EXP311,neither here nor there,"In the vast desert, one could say that water is neither here nor there.",Y,,,MM,
EXP312,neither here nor there,"The bird, confused and disoriented by the storm, found that its home was neither here nor there.",Y,,,MM,
EXP319,out of the woods,"After a long day of hiking, they finally made their way out of the woods.",Y,,,MM,
EXP320,out of the woods,"The cabin sat just out of the woods, surrounded by a beautiful meadow.",Y,,,MM,
EXP321,out of the woods,He could see the sunlight filtering through the trees as he walked out of the woods.,Y,,,MM,
EXP322,sit on the fence,"During the picnic, my cousin decided to sit on the fence, enjoying his ice cream.",Y,,,MM,
EXP323,sit on the fence,Birds often sit on the fence in my backyard during the early morning hours.,Y,,,MM,
EXP324,sit on the fence,"After painting the wooden fence, we had to make sure no one would sit on the fence until it was completely dry.",Y,,,MM,
EXP326,keep the peace,The new treaty was signed by both nations to keep the peace and prevent another war.,Y,,,BC,
EXP327,keep the peace,The role of the United Nations peacekeeping forces is to keep the peace in regions affected by conflict.,Y,,,BC,
EXP334,lay an egg,The hen will lay an egg every day if she is healthy and well-fed.,Y,,,MM,
EXP335,lay an egg,The giant sea turtle came ashore at night to lay an egg in the warm sand.,Y,,,MM,
EXP336,lay an egg,Watching a bird lay an egg is a rare and wonderful experience.,Y,,,MM,
EXP337,six feet under,The treasure chest was buried six feet under the sandy beach.,Y,,,MM,
EXP338,six feet under,You'll find the time capsule six feet under the old oak tree.,Y,,,MM,
EXP339,six feet under,The buried pipeline runs six feet under the surface of the ground.,Y,,,MM,
EXP340,dead and buried,The victim was dead and buried two days after the tragic accident.,Y,,,MM,
EXP341,dead and buried,They found ancient artifacts from a civilization that's long dead and buried.,Y,,,MM,
EXP342,dead and buried,The missing man was later discovered to be dead and buried in a remote forest.,Y,,,MM,
EXP343,down in the dumps,"After losing his job, he spent his days down in the dumps, searching for anything he could salvage.",Y,,,MM,
EXP344,down in the dumps,"The homeless man made his shelter down in the dumps, trying to stay warm amidst the garbage.",Y,,,MM,
EXP345,down in the dumps,"The detective followed the suspect down in the dumps, hoping to find some discarded evidence.",Y,,,MM,
EXP346,know the score,"Before the game ended, they wanted to know the score.",Y,,,MM,
EXP347,know the score,"Even though she was late, she quickly asked to know the score.",Y,,,MM,
EXP348,know the score,He called his friend during halftime to know the score.,Y,,,MM,
EXP349,oil and water,"The two liquids separated into distinct layers, like oil and water.",Y,,,MM,
EXP350,oil and water,"He attempted to mix the vinegar with the oil and water, but they remained separate.",Y,,,MM,
EXP351,oil and water,"In the science experiment, the students observed how oil and water refused to combine.",Y,,,MM,
EXP352,add fuel to the fire,"While camping, John used some dry wood to add fuel to the fire.",Y,,,MM,
EXP353,add fuel to the fire,The chef had to add fuel to the fire to keep his barbecue going.,Y,,,MM,
EXP354,add fuel to the fire,"In the cold winter night, they had to constantly add fuel to the fire to stay warm.",Y,,,MM,
EXP355,power behind the throne,"The king may rule the kingdom, but it is the queen who is the real power behind the throne.",Y,,,MM,
EXP356,power behind the throne,"Even though he was not officially the ruler, his influence was so great that he was often referred to as the power behind the throne.",Y,,,MM,
EXP357,power behind the throne,"Despite his lack of formal title or position, he was the power behind the throne, guiding the nation's decisions and policies.",Y,,,MM,
EXP361,blood and guts,The horror movie was filled with scenes of blood and guts.,Y,,,MM,
EXP362,blood and guts,The surgeon spent hours wading through blood and guts trying to save the patient's life.,Y,,,MM,
EXP363,blood and guts,The crime scene investigators had to photograph the blood and guts at the scene for evidence.,Y,,,MM,
EXP364,strike while the iron is hot,"As a blacksmith, you must learn to strike while the iron is hot to shape it effectively.",Y,,,MM,
EXP365,strike while the iron is hot,"If you don't strike while the iron is hot, the metal will cool and harden, making it impossible to work with.",Y,,,MM,
EXP366,strike while the iron is hot,"Heated in the blazing furnace, the blacksmith knew he had to strike while the iron is hot, or he would miss his chance to create the perfect sword.",Y,,,MM,
EXP373,on the hop,"The rabbit was constantly on the hop, searching for food.",Y,,,MM,
EXP374,on the hop,"She watched the young children on the hop, playing a game of leapfrog in the garden.",Y,,,MM,
EXP375,on the hop,"The kangaroo stayed on the hop, swiftly moving across the vast Australian outback.",Y,,,MM,
EXP379,all over the map,"The treasure was said to be scattered all over the map, causing adventurers to search high and low.",Y,,,MM,
EXP380,all over the map,"In the strategy game, his troops were positioned all over the map to have control over every territory.",Y,,,MM,
EXP381,all over the map,"When she looked at the geography test, she realized that the questions were about places all over the map.",Y,,,MM,
EXP385,let the cat out of the bag,"During her move, Samantha had to let the cat out of the bag after it had crawled in amongst the linens.",Y,,,MM,
EXP386,let the cat out of the bag,"While unpacking groceries, Ben had to momentarily let the cat out of the bag, as it had sneakily found its way in.",Y,,,MM,
EXP387,let the cat out of the bag,"Amy gasped in surprise when she opened her birthday present, only to let the cat out of the bag, having been tricked by her siblings.",Y,,,MM,
EXP391,blaze a trail,The adventurous explorers had to blaze a trail through the dense jungle to reach the hidden ruins.,Y,,,MM,
EXP392,blaze a trail,The scout leader taught the young boys how to blaze a trail in the wilderness for future hiking expeditions.,Y,,,MM,
EXP393,blaze a trail,"During their escape from the disorienting labyrinth, they had to blaze a trail to ensure they would not circle back to the same spot.",Y,,,MM,
EXP397,on the bounce,"The ball rolled down the hill, hit the rock, and continued on the bounce for a few more meters.",Y,,,MM,
EXP398,on the bounce,The young boy was kicking the soccer ball on the bounce for his afternoon practice.,Y,,,MM,
EXP399,on the bounce,"The kitten pounced on the bounce of the toy mouse, causing it to fly across the room.",Y,,,MM,
EXP400,at a canter,"The horse moved around the field at a canter, showing off its agility.",Y,,,MM,
EXP401,at a canter,"She practiced her horse riding skills at a canter, gaining confidence with every step.",Y,,,MM,
EXP402,at a canter,"As the sun set, we saw a lone stallion approaching at a canter, its silhouette majestic against the fading light.",Y,,,MM,
EXP403,out to lunch,He asked his secretary to cover his phone calls because he was out to lunch.,Y,,,MM,
EXP404,out to lunch,"Every day at noon, the office was quiet because everyone was out to lunch.",Y,,,MM,
EXP405,out to lunch,She forgot her wallet on the table when she went out to lunch.,Y,,,MM,
EXP409,twist someone's arm,"In the brawl, he managed to twist someone's arm and wrestle them to the ground.",Y,,,MM,
EXP410,twist someone's arm,"She was so strong, she could easily twist someone's arm if she wanted to.",Y,,,MM,
EXP411,twist someone's arm,"During their playful wrestle, he accidentally twist someone's arm causing them to yelp in surprise.",Y,,,MM,
EXP412,swings and roundabouts,The local park has new swings and roundabouts for the children to enjoy.,Y,,,MM,
EXP413,swings and roundabouts,"During our holiday, we found a charming playground filled with swings and roundabouts.",Y,,,MM,
EXP414,swings and roundabouts,The kindergarteners love recess because they get to play on the swings and roundabouts.,Y,,,MM,
EXP416,on the ball,"While cleaning the backyard, I found a small crystal ball sitting on the ball used for last summer's pool games.",Y,,,MM,
EXP417,on the ball,"The circus performer successfully balanced herself on the ball, to the audience's amazement.",Y,,,MM,
EXP418,rob Peter to pay Paul,"In an act of desperation, he decided to literally rob Peter to pay Paul his overdue debt.",Y,,,MM,
EXP419,rob Peter to pay Paul,"The police were shocked to uncover the bizarre case where John had decided to rob Peter to pay Paul, leaving both parties equally disgruntled.",Y,,,MM,
EXP420,rob Peter to pay Paul,"Despite his good intentions, Tom found himself in a predicament after choosing to rob Peter to pay Paul, creating more trouble than resolution.",Y,,,MM,
EXP421,ring a bell,"When she entered the church, she was asked to ring a bell.",Y,,,MM,
EXP422,ring a bell,"Every morning at 7 am, John would ring a bell to start the day's work.",Y,,,MM,
EXP423,ring a bell,The teacher would ring a bell to signal the end of recess.,Y,,,MM,
EXP424,to die for,"In the ancient times, warriors often went to battle knowing they were likely to die for their king and kingdom.",Y,,,MM,
EXP425,to die for,The secret agent was prepared to die for his country to protect its secrets.,Y,,,MM,
EXP426,to die for,The brave soldier declared he was ready to die for the cause of freedom.,Y,,,MM,
EXP427,everything but the kitchen sink,"During the move, they packed everything but the kitchen sink into the moving van.",Y,,,MM,
EXP430,spend a penny,I decided to spend a penny on a wish at the fountain.,Y,,,MM,
EXP431,spend a penny,It's amazing you can still spend a penny to get a candy from the machine.,Y,,,MM,
EXP432,spend a penny,"To test the durability of the coin, they had to spend a penny.",Y,,,MM,
EXP436,in black and white,"The photograph was in black and white, providing a nostalgic feel to the scene.",Y,,,MM,
EXP437,in black and white,He often preferred watching films in black and white to appreciate the classic cinema.,Y,,,MM,
EXP438,in black and white,The artist chose to paint the landscape in black and white to emphasise the contrast.,Y,,,MM,
EXP439,doom and gloom,The haunted house was filled with an atmosphere of doom and gloom.,Y,,,MM,
EXP440,doom and gloom,The sky was filled with doom and gloom as the storm approached.,Y,,,MM,
EXP441,doom and gloom,The forest at night encapsulated a sense of doom and gloom.,Y,,,MM,
EXP448,keep tabs on,"As a project manager, it's essential for me to keep tabs on all ongoing projects.",Y,,,MM,
EXP449,keep tabs on,The police officer decided to keep tabs on the suspect's activities.,Y,,,MM,
EXP450,keep tabs on,The teacher uses an online platform to keep tabs on her students' progress.,Y,,,MM,
EXP451,get the picture,"After the artist finished his masterpiece, I was eager to get the picture.",Y,,,MM,
EXP452,get the picture,The photographer told me to stay still while he adjusted the camera to get the picture.,Y,,,MM,
EXP453,get the picture,"The museum had tight security, but I managed to get the picture I wanted for my project.",Y,,,MM,
EXP454,look the other way,"While crossing the busy street, I had to constantly look the other way to avoid oncoming traffic.",Y,,,MM,
EXP455,look the other way,She told him to look the other way while she changed her clothes.,Y,,,MM,
EXP456,look the other way,"While playing hide and seek, John had to look the other way while his friends hid.",Y,,,MM,
EXP457,burst someone's bubble,The children were playing when a naughty boy decided to burst someone's bubble.,Y,,,MM,
EXP458,burst someone's bubble,She quickly reached out and burst someone's bubble that was floating too close to her face.,Y,,,MM,
EXP459,burst someone's bubble,"During the street fair, a gust of wind burst someone's bubble that was part of the bubble show.",Y,,,MM,
EXP466,fall in line,The children were asked to fall in line before they entered the classroom.,Y,,,MM,
EXP467,fall in line,"During the fire drill, the students were told to fall in line quickly and quietly.",Y,,,MM,
EXP468,fall in line,The soldiers were commanded to fall in line for the morning inspection.,Y,,,MM,
EXP469,water under the bridge,"The strong current swiftly swept the debris, transforming it into water under the bridge.",Y,,,MM,
