,Idiom,Sentence
42,up to here,"Apparently they 're up to here in woolies , but nobody ever remembers that homeless men need underpants too ."
43,up to here,I 've had it up to here with this naivety .
44,up to here,"In any way , shape or form , I 've had it up to here with chickens!’"
45,night and day,"She says they used her orchard as a toilet , and their property was invaded night and day ."
46,night and day,The reason for all this is because carp are very hard fish to catch and carp fishermen fish for a long period of time often a few nights and days .
47,head for the hills,"Paul Traynor heads for the hills with seven mid - sized rucksacks , ideal for long hostel - based routes or shorter backpacking trips ."
48,head for the hills,"He is putting on his long black coat , a sure sign that he is ready to head for the hills , or at least his hotel suite ."
49,head for the hills,Alejandro Mayta the revolutionary theorist who heads for the hills in the hope of joining a mass uprising comes over finally as a misguided almost pathetic figure .
50,pass the buck,‘ I hope this Tory government 's change of heart is genuine and that they are not just trying to pass the buck .
51,pass the buck,"Martinho wanted to please them , so he passed the buck to yours truly ."
52,rise from the ashes,ONE of Anglesey 's oldest town halls is set to rise from the ashes of a fire which destroyed it .
53,rise from the ashes,THE landmark spire of Colmcille Roman Catholic church in Holywood has risen from the ashes of the fire which virtually destroyed it four years ago .
54,rise from the ashes,ICM — the newcomer that rose from the ashes of Marplan — is owned by its management .
55,meat and potatoes,"For all his coinciding with the world of fashion , with the glamour and risks of the pederasty he helped publicise , Mapplethorpe 's pictures remain alien to the canons of American good taste and to meat - and - potato American ideas about art ."
56,meat and potatoes,"And design your dinner so that everyone can eat the same thing and enjoy it — with the recipes below , even the greediest red meat - and - potatoes man will feel he 's had his fill !"
57,meat and potatoes,"Meat and potatoes , not scallops and prawns ."
58,in bed with,""" Tom Rooney told me to beware of you , not to end up in bed with you ."
59,in bed with,"That the miller 's knives substitute for his sexual potency rather than reflect it is indicated by the superiority of the clerk 's performance in bed with his wife to anything he has managed for a long time : He has fathered two children , but , like Bayard , his sexual energy is now exhausted ."
60,in bed with,"But she remembered the sight of him in bed with that would - be starlet and fought the impulse , staring angrily at him instead ."
61,in the pink,In the Pink
62,in the pink,"Considering that the Soviet economy is not in the pink of health in its own right , it only makes sense to ask whether the burden will remain affordable — and , indeed , whether hard economic facts will not drive the USSR to reassess the wisdom of maintaining anything so extravagant as a Socialist Commonwealth in her present circumstances ."
63,in the pink,"Experiment with newcomers : ' Avanti ' , a very early flowering geranium , and ' Picotee Swirl ' , the first busy Lizzie in soft pink with frilled , deep rose edges ."
64,go to town,"Well Viv is stopping in , you 're going to town ."
65,go to town,Mr Devey went to town .
66,go to town,"The original stuff had all been ripped out years ago , so when I moved in I thought I 'd go to town on the redecoration ."
67,heart of gold,"Then he got the girl ( the bartender with the heart of gold ) and rode his motorcycle into … well , an ending ."
68,heart of gold,But the heart - of - gold whore and the con man are sentimentally conceived .
69,heart of gold,"Of the four biographies he published in the 1930s , Frank Harris ( 1932 ) was a witty and ironic exercise in demythology , identifying his one - time literary hero as an inverted puritan ' with a heart of borrowed gold ' ; and his Samuel Johnson ( 1933 ) a succinct and humane study of ' an intensely loving and compassionate soul handicapped in its expression by lifelong disabilities of mind and body ' ."
70,par for the course,"It is only right — and traditionally par for the course — that anyone with a vested interest in defending LTA policy , should in fact do so ."
71,par for the course,"Erm I 'm er rising to take the opportunity to sum up the debate er for those of us on this side of the house and to say that on this side of the house we do welcome these orders actually coming through , delayed though they are and er besmirched though they are by the usual examples of government incompetence in failing to send them to the scrutiny committee in the proper manner to allow the usual processes to take place but wi that 's par for the course these days ."
72,par for the course,"Possibly par for the course in television write - offs , but possibly not ."
73,out of line,The symmetry of his body and the smoothness of his movements were thrown out of balance by the slight bulge that heaved one shoulder out of line with its fellow .
74,out of line,"Way out of line , I do n't know where you work that one out !"
75,out of line,"Would you accept as a Euro enthusiast , that the opinion poll published by the commission three weeks ago , showed that the Labour party in their tepid support for Maastricht , were wholly out of line with the average Labour voter and in fact it shows quite clearly the majority of people in Britain , not only were opposed to Maastricht , they were also opposed to the idea that the E C was a good idea at all ."
76,stay the course,"But despite the appalling conditions , most crews stayed the course and out of 72 rafts competing , 59 made it to the finish at Chepstow ."
77,stay the course,OLDHAM boss Joe Royle is backing his old Norwich City pals to stay the course and pull off the first Premier League title .
78,stay the course,"There were also moments of great concern about whether the allies would be willing to stay the course as the days , weeks , and months passed , with no end in sight ."
79,smoke and mirrors,"The Democratic chairman of the House of Representatives budget committee , Leon E. Panetta , described the package as "" gimmickry "" and accused the administration of using "" smoke and mirrors "" in order to finance its tax cuts and spending initiatives ."
80,smoke and mirrors,ROME – A game of smoke and mirrors : this is how Italy ’s current electoral campaign appears – both to Italians and the wider world .
81,get to the bottom of,It is a very useful behaviour when trying to get to the bottom of things and when you need to tease information out of the other person .
82,get to the bottom of,He is determined to have a clear - the - air meeting with Murray this weekend and snapped yesterday : ‘ I have to get to the bottom of this mess .
83,get to the bottom of,Dido does n't claim to have got to the bottom of what she calls the Canine Predicament .
84,by the book,But the police had been called so everything had to be done by the book .
85,by the book,"she 's doing everything by the book I think , so"
86,in your face,"It 's still an essentially traditional Strat sound , but with just that extra bit of in - your - face mid - range bite to drive the amp harder ."
87,in your face,‘ Still getting angry when someone throws some truth in your face?’ he jeered .
88,in your face,"Which is not to say that popular humour in the States is particularly nice : in recent years there has been a great demand for in - your - face racist , ethnic and misogynist stuff , as typified on the respectable side by Jackie Mason and on the unholy by Andrew Dice Clay ."
89,in the black,The group as a whole is in the black only because it has income from an American retailing chain Silo and from financial services and property deals in Britain .
90,in the black,City : Quicks in black
91,in the black,"BSkyB ( Sky Television ) is firmly in the black and the 50%-owned satellite venture now has weekly revenues of more than £ 6 m , with 80 % coming from pay service subscriptions ."
92,hit the nail on the head,The moment she said it she knew she had hit the nail on the head .
93,hit the nail on the head,"She might dislike Piers Morrison , but he had a knack of hitting the nail on the head ."
94,in the driving seat,In the driving seat to replace whoever goes down are London Scottish .
95,in the driving seat,I agree with the Lord of Aberdale that it is vital for the elected representatives on the police authority to be clearly seen to be in the driving seat of the committee .
96,in the driving seat,The financial and political crises of 1931 led Keynes to re - order his priorities : theory took the place of policy in the driving - seat .
97,join the club,"Now , in an amazing snub to Lawrence , the 26-year - old has joined a club which is even further away from the capital and is set to make his debut in the Coca - Cola Cup tomorrow night — against Middlesbrough !"
98,join the club,"If you 're confused , join the club !"
99,join the club,"Come in , join the club …"
100,walk the plank,"Kevin Keegan , Glenn Hoddle or Ron Atkinson , all loved by the media , would merely be walking the plank towards a couple of defeats ."
101,walk the plank,"Both are completely geared to novices , with plenty of other distractions if walking the plank does n't suit ."
102,eat humble pie,"Richmond coach , Kevin Boroevich , will have to eat some humble pie at training after being sent off for punching in the 21–15 win in a friendly against Fylde ."
103,eat humble pie,"When the chief minister of Maharashtra became uppity earlier this year , Mr Gandhi arranged for dissidents to mount a campaign to get rid of him , and relented only after the chief minister ate humble pie ."
104,eat humble pie,"The Midlanders have been eating humble pie this season , though they deserve better fare ."
105,up the river,And number three ; you 've signed your way into a deal you know nothing about and which has almost certainly sold you up the river .
106,up the river,"I been beaten up by hoods , framed on a murder rap , beaten up by cops , sent up the river , beaten up by prison bulls , got a last - minute reprieve from the governor , and been beaten up by my girl.’"
107,up the river,"There was nothing for Hussey to do but bow before the wind with as good a grace as he might , profess his resolve to do all that was required of him - at whatever penal cost to himself , his martyred countenance implied — reverently kiss the prince 's hand , and withdraw to his plain , melancholy wife and his two fat manors up - river ."
108,circle the wagons,Circling the wagons
109,look the part,I thought maybe he 'd convinced Malcolm that he was overweight — which he was n't — and Malcolm had this real thing about us looking the part .
110,look the part,"Only Morrissey looked the part , ensconced as he was in a wild celebration of his now successful madness ."
111,look the part,For your own sake try and look the part!’
112,moment of truth,"A moment of truth is looming for both sides of this co - dependent , and ultimately dysfunctional , economic relationship ."
113,all bets are off,"It might suggest that all bets were off on the release stakes or , ever hopeful , it might be that they were planning on letting us go and did n't want us to be able to give any hint , however vague , as to the whereabouts of the Yanks ."
114,all bets are off,"In that case , they say , all bets are off for co - operation on the budget next year ."
115,knock someone's socks off,"It 's Lil , power - dressed to knock your socks off , with all eyes blazing ."
116,on the side of the angels,"Here was the embodiment of evil , the Scapegoat , and with his imminent destruction wickedness would be symbolically cast out and the townspeople would be once more on the side of the angels ."
117,on the side of the angels,"THE government of the United States wants to show it is on the side of the angels , but finds too few of them in Central America ."
118,on the side of the angels,"Lonrho 's ethics have been publicly queried in the past , so many in Whitehall are galled to see it cast on the side of the angels by its opposition to the Al Fayeds , after they had thwarted Lonrho 's own designs on Harrods ."
119,jump on the bandwagon,"The idea of natural ingredients is , of course , not a new one and the client is , in effect , jumping on a profitable bandwagon already in the market place ."
120,jump on the bandwagon,"Ever since Mr Gorbachev attended our G7 meeting last year and Mr Lamont went to inspect the Russian chaos , Britain has effectively adopted the Soviets and we will be pressing hardest to help — even George Bush is now jumping on this bandwagon ."
121,jump on the bandwagon,He is simply jumping on a publicity bandwagon . '
122,turn the other cheek,That 's what turning the other cheek does for you.’
123,raise the roof,The singing nearly raised the roof .
124,raise the roof,"Dolly wanted to scream , to raise the roof and to wake Joe ."
125,raise the roof,‘ There will be a great variety but over the day some carols may be repeated because we want to make sure we have enough truly popular ones so people can sing along and raise the roof.’
126,do the right thing,"in doing the right thing , so confident"
127,do the right thing,He 's quite willing to do the right thing by the girl .
128,do the right thing,"Firms that wanted to do the right thing , to spend the money to reduce their emissions , now worry that doing so would put them at a competitive disadvantage as others continue to emit without restraint ."
129,on the square,"No she 's only staying tonight and they think , they just phoned me up then and they were on the square , I think she 's going home phorr what 's that smell , it stinks what ?"
130,on the square,‘ He 's on the square.’
131,on the square,"Tucked away on a quiet , sunny square just 50 yards from the lagoon , this is a fresh , modern hotel adorned with many original paintings by the owner 's wife ."
132,pick up the pieces,"My life fell apart , but he had no trouble picking up the pieces and forged ahead with a new woman ."
133,pick up the pieces,You may need to use tweezers to pick up the pieces and position them on your egg .
134,pick up the pieces,The Villa boss was still trying to pick up the pieces after his side 's shock exit from the Coca - Cola Cup in Tuesday night 's fourth round replay at Ipswich .
135,touch and go,By the time we reached Llanberis it was touch and go whether we would make it back to base at all that night .
136,off and running,On top of that the new point to point season is off and running and that 's where we 're going for this week 's Friday Feature
137,off and running,Preston had given the expected response and they were off and running .
138,off and running,Cheltenham 's Gold Cup week … from Monday thro ' till Thursday we 'll be there to bring you all the colour … the action and excitement … we're off and running tonight with one of the local heroes … one of the favourites … one of the best in the land … who is Racing Gold
139,horses for courses,"And it 's horses for courses , it 's secure ."
140,horses for courses,"If ever there was a case for the old adage ‘ horses for courses’ , ‘ Strip Search’ was it !"
141,horses for courses,Horses for courses
142,wipe the slate clean,"So one killing , mystically interpreted either as the result of witchcraft , or of its antithesis vengeance - magic , cancels another and the slate is wiped clean ."
143,wipe the slate clean,"In 1978 , in an attempt to wipe the slate clean , Pinochet declared an amnesty to cover all human rights abuses since the coup ."
144,wipe the slate clean,"In short , it was thought by many that the nature of the children 's hearing system would make it unnecessary to enact rules for ‘ wiping the slate clean’ ."
145,hit the jackpot,"GREAT BRITAIN hit the jackpot on this summer 's Rugby League trip to Papua - New Guinea , Australia and New Zealand ."
146,hit the jackpot,The new dealer thought he had hit the jackpot .
147,hit the jackpot,It could be that Grätzel 's attempts to harness cheap solar energy may finally have hit the jackpot .
148,round the bend,At one time I had this scrubbing brush and I used to spend the whole day scrubbing and I used to have a big pan and I used to boil my clothes up in it — it drove me round the bend …
149,round the bend,"McQueen was accompanied on location by Ali MacGraw , whom he had met on The Getaway , and whose presence he admitted saved him from going round the bend ."
150,round the bend,"The crowd begins to melt away and a bubbling froth is tossed along the river , dancing and swirling and disappearing from sight round the bend ."
151,go for the jugular,Watching the children together gave reassurance that childhood is not all one - upmanship and go - for - the - jugular .
152,go for the jugular,Probably that Ven would go for her jugular in no uncertain fashion for the deception she had played on him .
153,go for the jugular,"Not Adam Burns , though — oh no , he had to go straight for the jugular ."
154,nip and tuck,Staff at the stores will be left managing the other 10 % — fast - changing lines like greetings cards and fizzy drinks — though they can give the 90 % a nip here and a tuck there with the help of the RMUs .
155,nip and tuck,It was nip and tuck up to 7 - 7 before Best opened up a 12 - 9 lead .
156,nip and tuck,"Lucker and I glance across the nipped and tucked waves , no longer King and Queen in a divine state ."
157,throw the baby out with the bathwater,"While the Chicago School certainly addressed the expressive order in problematic ways , their critics have thrown out the baby with the bathwater ; misinterpreting or misunderstanding what these sociologists were attempting ."
158,throw the baby out with the bathwater,They must face up to the limitations of the Western model — though the baby of Western expertise should not be thrown out with the bathwater of its failings .
159,out of order,is well out of order
160,out of order,"Having made two journeys to India and stayed with Indian friends there , I did not find the quote at all out of order , and to me the emphasis naturally fell on the words ' now that their lives have been ruined ' rather than the five preceding words ."
161,out of order,That question was not out of order .
162,muddy the waters,It has also sent the West numerous doubtful and bogus defectors to muddy the waters .
163,muddy the waters,The conflation of these two completely distinct hypotheses has merely served to muddy the waters still further in the already turbulent and confused debate between Keynesians and new classicals .
164,muddy the waters,"This experiment is rather costly , however , and one judge felt that the immense amount of work already done on chemical kindling in rats would muddy the waters ."
165,move the goalposts," Moving the goalposts like this is unfair , ' Keep said ."
166,move the goalposts,Moving the goalposts
167,move the goalposts,THE JOCKEY CLUB are moving the goalposts next week in an attempt to update the sport -but most punters will still be left in the dark .
168,hair of the dog,‘ I should think it starts when you need a hair of the dog the next morning.’
169,hair of the dog,Ah hair of the dog!’
170,hair of the dog,"As for the supposedly curative hair of the dog , this stems from the ancient belief that the only cure for an infected dog bite was a poultice of milk , bread and fur from the offending animal ."
171,have someone's number,Because he had your number .
172,neither here nor there,"No , that 's a , that 's , right , but I mean that 's neither here nor there is it ?"
173,neither here nor there,oh well that 's neither here nor there so treating
174,neither here nor there,The fact that you fantasise about a woman rather than a man is neither here nor there in these circumstances .
175,out of the woods,Manager Harry McNally said : ‘ We are not out of the wood but we have been thrown a lifeline .
176,out of the woods,They were n't out of the woods yet — far from it .
177,out of the woods,"Though its international activities and long term contracts business appear to offer some cause for cheer , it seems that Egham , Surrey - based consultancy P - E International Plc is not out of the woods yet ."
178,sit on the fence,I mean all this sitting on the fence I mean they must have very sore bums .
179,sit on the fence,"Although he sat on the fence with the rest of London 's Jews during the noisy campaign of Rabbi Manasseh ben Israel [ q.v.]of Amsterdam to secure a public readmission of the Jews to England , eventually he was forced to show his hand ."
180,sit on the fence,"This did not mean sitting on the fence but , in theory , jumping to and fro ."
181,keep the peace,"However , the scramble to keep the peace went on ."
182,keep the peace,Since that time there has been an uneasy peace in the world the price of which has been constant vigilance and in keeping that peace our two countries have continued together as the witness of young American Airforce men currently stationed in this country .
183,six feet under,"You know as well as I do , they only stop talking about you when you 're six foot under.’"
184,six feet under,"‘ As a fund - raiser , you can never take no for an answer and no one was going to put me six feet under.’"
185,six feet under,"‘ More than six feet under,’ Richmann continued , and slipped off the safety catch ."
186,dead and buried,Oxford looked dead and buried until Pompey substitute Stuart Doling brought down John Durnin to allow Jim Magilton to cut the deficit to 5–4 from the penalty spot .
187,dead and buried,Middlesbrough would have been dead and buried if Taylor had taken other scoring chances before the break .
188,dead and buried,"These charities were originally administered by the Church or trustees appointed by the old vestry meetings , but with the Local Government Act of 1894 , they passed into the hands of the new parish councils , or such as still existed , for in 1893 , we find the local vicar complaining that most of the charities were dead and buried , and that Thomas Towers promised to give twenty shillings each Christmas Day , very kind of him no doubt , but unfortunately he left no provision for anybody to give it after he was dead , so that in his case he and benefaction are both dead and buried ."
189,down in the dumps,"‘ When I left you last night you were positively down in the dumps ; today you 're — you're … ’ she made a helpless gesture with her hands , searching for the right adjective ‘ … you 're sizzling !"
190,down in the dumps,Down in dumps A GROUP of young people from Northern Ireland are setting off this week on a trip to one of the world 's poorest regions .
191,down in the dumps,Sid explains : ‘ At times he was really down in the dumps .
192,know the score,As my Mancunian boyfriend says : ‘ Hardcore — know the score.’
193,know the score,"I know the score , like they say . """
194,know the score,"A JOYFUL collision of sounds and vibes , influences and attitude , uptown trains and downtown nights , this album knows the score , and also for good measure , what time it is ."
195,oil and water,As Martin Kähler put it a century ago in his tellingly - named book The So - Called Historical Jesus and the Christ of Faith : ‘ Christian faith and a history of Jesus repel each other like oil and water’ .
196,oil and water,Like oil and water .
197,oil and water,OIL and water do n't mix .
198,add fuel to the fire,"London 's Evening Standard was moved to add fuel to the fire and proclaim ‘ this year , the long knives were out’ , but it was only the tall tales that were really in evidence ."
199,add fuel to the fire,"The desperate need for more golf courses in the UK has already become a hot potato within the sport , but Keith Wright , Secretary of the English Golf Union , added fuel to the fire recently by claiming the way to satisfy the golf boom was to build courses for the average 18 handicap golfer ."
200,add fuel to the fire," Well , if you think it 's ridiculous , then so be it ! ' she cried , determinedly adding more fuel to the fire ."
201,power behind the throne,"War is financed by industry , and the power in any land , behind any throne , behind Hitler or behind our own democracy , is a body of immensely wealthy men whose allegiance is ultimately to their wealth , and perhaps to each other ."
202,power behind the throne,"Even though it was common knowledge that the Merkuts were the power behind the throne , no one could say that they had ever demanded precedence after Artai ."
203,power behind the throne,"Unaware of the death of the sect 's figurehead leader , Grant , Springfield and their patchwork assembly of troops were preparing to take on the real power behind the throne — the sinister oriental who was using the organisation as a front for his Triad drugs network ."
204,blood and guts,"But while RoboCop is basically an entertaining comedy with some ‘ serious’ ideas thrown in for ballast , Day of the Dead , despite grotesque comedy elements , mostly involving blood - and - guts , is fundamentally more serious , an adult rather than an ‘ adult’movie ."
205,blood and guts,"As they shift from one adult to another , teachers say it is the video which keeps them under control — a new binge of blood and guts each time they are shuttled past the rental shop ."
206,blood and guts,It was after the 1990 England v Ireland game at Twickenham that Paul Ackford casually mentioned to one of the Irish players that his team knew it had only to withstand Ireland 's 20 minutes of blood and guts to win easily .
207,strike while the iron is hot,"Maybe he would even mount a punitive expedition tonight , striking while the iron was hot , and all that ."
208,strike while the iron is hot,Strike while the iron is hot .
209,on the hop,NORTH Sea oilmen were caught on the hop by petroleum tax changes announced by the Chancellor — and many did not like what they heard .
210,on the hop,TELEPHONE giant BT caught the City on the hop yesterday with a sweet £ 1bn deal in the US .
211,on the hop,‘ It 's always a good idea to keep them on the hop.’
212,all over the map,"Er what I have chosen to do is to do what we were doing in the nineteen eighties , which is to take the simplest measure of the maximum flow and the detrusor pressure at that volume and when we do that , you can see that these patients , instead of being a single group of patients with a single kind of bladder pressure and flow , these patients are all over the map ."
213,all over the map,The very term ' course ' implies a definite path of study ; the student is not going to go wandering all over the intellectual map .
214,all over the map,"But the answers have been all over the map , with some finding that the yuan is not undervalued at ~ all , while others argue that it should appreciate against the dollar by more than 30 % ."
215,let the cat out of the bag,Even if Jack Bernstein had n't let the cat out of the bag I would have known!’
216,let the cat out of the bag,"If you do not believe me , then listen to how Steffi Graf and Monica Seles let the cat out of the bag in Paris ."
217,let the cat out of the bag,It was the kind of story that she would relish but with her blunt ways one could never be sure she would n't at some time let the cat out of the bag .
218,blaze a trail,"bounce back when things go wrong and find new pathways , blaze new trails ."
219,blaze a trail,"Tough , consistent , and versatile , Golden Chip is effective on all types of ground , held up or blazing a trail ."
220,blaze a trail,"Long before shapeless cardigans and outsize feet were making their fashion comeback , May McFettridge was blazing a style trail in elastic stockings and corn plasters ."
221,on the bounce,"Abel plays with his overwhelming sound system ; on bounces a heavily tampered cover of ' Dancing Queen ' , cut intermittently with a Scottish rap ."
222,on the bounce,"Well here are , one , two , three on the bounce and I thought well you know that 's a fairly good start , jack , queen , king king high was a bit dodgy you never know do you ?"
223,on the bounce,"‘ It 's nice to get four victories on the bounce , but I just hope Christmas has not come too early for us.’"
224,at a canter,"He nodded , then turned and rode away at a canter ."
225,at a canter,"At a canter , students tackle hurdles in equine science , horsemastership , stud operation and showing horses ."
226,at a canter,She turned Midnight on his hocks and went away at a canter .
227,out to lunch,"Round the bend , out to lunch ."
228,out to lunch,Was God out to lunch when this happened ?
229,out to lunch,"Just because out - to - lunch Morrissey is dropping in references to ' Ride A White Swan ' and because Pulp 's singer wears David Essex - type attire and lampoons a ' camp stance'and just because the current guitar rock scene is useless ( except Sugar ) , do not fob this glitter - rock crap off on our gullible pop nation ."
230,twist someone's arm,"She will twist your poor rich senile arm to pay you out , because you have an airy house on the hill , and she goes home to a room in the damp and humid valley ."
231,twist someone's arm,Twist my arm !
232,twist someone's arm,"I 'm gon na squash your son so it 's alright , if he does n't stop twisting my arm round"
233,swings and roundabouts,So really it is a case of swings and roundabouts .
234,swings and roundabouts,C.4 where there is a corresponding surplus arising from some other matter — e.g. over provision of liabilities ( swings and roundabouts ) ;
235,swings and roundabouts,The advantages of a small company over a large one is a matter of swings and roundabouts .
236,on the ball,Apes do n't understand profit and in any case can never keep their eye on this ball .
237,on the ball,"Most genuine discs are now programmed to prevent copying , but the pirates are on the ball , often finding ways to beat the system ."
238,rob Peter to pay Paul,"It seems like you got there 's a logic , there are arguments behind what you 're doing , and you 're equalising things certainly , but I suppose what comes to mind is this phrase to rob Peter to pay Paul , and it must be very difficult to explain to the people in the old folks home when it 's being closed , I 'm sorry , you 're doing this so that somebody else in a different part of the country will have a better quality of life ."
239,rob Peter to pay Paul,rob Peter to pay Paul as usual
240,rob Peter to pay Paul,"‘ These ratings should be a shining beacon to the Government to support research and cease their rob Peter to pay Paul policies,’ said an Association of University Teachers ' spokesman ."
241,ring a bell,"With regard to the theme of today 's Conference — namely the retraining of language teachers , I hope that my experience on these pilot courses will be of interest , and may even ring some bells ."
242,ring a bell,"Because I 'm on a district executive committee at the moment and I do n't , that name does n't ring a bell"
243,ring a bell,What they still lack is what the Tories would fear rather than scorn : three easy sentences to ring the bell .
244,to die for,CONDEMNED TO DIE FOR A DRINK
245,to die for,Now that 's a man to die for!’
246,to die for,"Ellen Barkin ( small of eye and thin of lip ) , Jamie Lee Curtis ( bright - eyed but androgynous ) , Anjelica Huston ( body to die for — unforgiving face ) , Bette Midler ( where do I begin ? ) uncurled themselves across screens from LA to Llandudno , playing women who were as sexy and salacious as they were ballsy and bloody - minded ."
247,everything but the kitchen sink,"It was a bit everything - but - the - kitchen - sink on sexual politics , and its switches from comedy to Myra McFadden 's chilling incest victim 's song might have been a bit startling , but I still felt pleased with it and learned ( I hope ) an awful lot from it , mainly about structure which I find hard , and how to pinch plots from people who knew how to do it ."
248,spend a penny,"In the other … you might just as well try to go to sleep when your feet are cold or you want to spend a penny , or you 're hungry for a special kind of food you have n't got ."
249,spend a penny,"Norris 's reputation as a man who got things done was dented when the Tories lost a vote on extra primary school places because Norris was away from his seat ( leading to the crack that he ‘ spent a penny and cost the ratepayers £ 250,000’ ) , but he left his mark on the place ."
250,spend a penny,"Norris 's reputation as a man who got things done was dented when the Tories lost a vote on extra primary school places because Norris was away from his seat ( leading to the crack that he ‘ spent a penny and cost the ratepayers £ 250,000’ ) , but he left his mark on the place ."
251,in black and white,"‘ Words are very important , and there they are in black and white , and it is up to the Mirror to make sure that they are adhered to.’"
252,in black and white,To tell us things are happening and certainly on the press release it made erm it was there in black and white to say that
253,in black and white,"Children think in black and white , good and bad , and the comic has a powerful influence on shaping attitudes ."
254,doom and gloom,The constant exposure to doom and gloom that most of us take for granted can be a source of hidden stress — if you have real problems to contend with you do not need this extra mental burden .
255,doom and gloom,"With the depressed economy and appalling trade figures ( improved a little , one hopes , by a healthy Christmas ) , I was expecting doom and gloom as I did my recent rounds of the publishing houses ."
256,doom and gloom,"Recent news pages have been littered with doom and gloom about company collapses , including some well - known names ."
