idiom,pred
to die for,i
everything but the kitchen sink,l
spend a penny,l
spend a penny,l
spend a penny,l
in black and white,l
in black and white,l
in black and white,l
doom and gloom,i
doom and gloom,i
doom and gloom,i
keep tabs on,i
keep tabs on,i
keep tabs on,i
get the picture,l
get the picture,l
get the picture,l
look the other way,l
look the other way,l
look the other way,l
burst someone's bubble,i
burst someone's bubble,i
burst someone's bubble,l
fall in line,l
fall in line,l
fall in line,l
water under the bridge,i
water under the bridge,i
water under the bridge,l
keep a lid on,l
keep a lid on,i
keep a lid on,i
down the drain,l
down the drain,l
down the drain,l
make the cut,l
make the cut,l
make the cut,l
free and easy,l
free and easy,l
free and easy,l
with a vengeance,i
cut both ways,i
cut both ways,l
cut both ways,i
sing the praises of,l
sing the praises of,l
sing the praises of,l
hold the line,l
pull the plug,l
pull the plug,i
pull the plug,l
make a move,l
make a move,l
make a move,l
make a meal of,l
make a meal of,l
make a meal of,l
the icing on the cake,l
the icing on the cake,l
the icing on the cake,l
in the red,l
in the red,l
in the red,l
feel the pinch,l
feel the pinch,l
feel the pinch,l
under the microscope,l
under the microscope,l
under the microscope,l
pay the piper,l
pay the piper,l
pay the piper,l
on the trot,l
on the trot,l
on the trot,l
peaches and cream,l
peaches and cream,l
toe the line,l
toe the line,l
grasp the nettle,l
grasp the nettle,l
grasp the nettle,l
high and mighty,i
high and mighty,l
high and mighty,l
in the hole,l
in the hole,l
in the hole,i
take the fall,l
take the fall,l
take the fall,l
in the offing,l
in the offing,i
in the offing,l
ride roughshod over,i
ride roughshod over,i
ride roughshod over,l
crash and burn,l
crash and burn,l
crash and burn,i
dyed in the wool,l
dyed in the wool,l
dyed in the wool,l
fight fire with fire,i
fight fire with fire,i
fight fire with fire,l
all over the place,l
all over the place,l
all over the place,l
grind to a halt,i
grind to a halt,l
grind to a halt,l
in a nutshell,l
in a nutshell,l
rise and shine,l
take a back seat,l
take a bath,l
take a bath,l
take a bath,l
bury the hatchet,l
bury the hatchet,i
in the soup,l
in the soup,l
in the soup,l
grease the wheels,l
grease the wheels,l
grease the wheels,l
apples and oranges,l
apples and oranges,l
follow in someone's footsteps,l
follow in someone's footsteps,l
follow in someone's footsteps,l
under the wire,l
under the wire,i
under the wire,l
out of the blue,i
out of the blue,l
out of the blue,i
over the moon,i
over the moon,i
throw down the gauntlet,i
throw down the gauntlet,i
take the bull by the horns,i
take the bull by the horns,l
take the bull by the horns,i
over the top,i
over the top,i
over the top,i
sweetness and light,l
sweetness and light,l
behind someone's back,l
behind someone's back,l
on the ropes,l
take the cake,l
dig up dirt,l
dig up dirt,l
dig up dirt,l
left and right,l
dead in the water,i
dead in the water,i
dead in the water,i
take no prisoners,i
run out of steam,i
take a hike,l
take a hike,l
take a hike,l
go the extra mile,l
under a cloud,l
under a cloud,l
under a cloud,l
in someone's pocket,l
in someone's pocket,l
in someone's pocket,l
on the shelf,l
on the shelf,l
on the shelf,l
pound the pavement,i
cut and thrust,l
cut and thrust,i
song and dance,l
song and dance,l
song and dance,l
turn the tables,l
turn the tables,l
over the hill,i
over the hill,i
over the hill,i
out of the loop,i
drop the ball,l
the buck stops here,i
the buck stops here,l
the buck stops here,i
on the rocks,l
on the rocks,l
on the rocks,l
break someone's heart,i
break someone's heart,l
break someone's heart,i
steal someone's thunder,i
slap on the wrist,l
slap on the wrist,l
on the make,l
on the make,l
on the make,l
things that go bump in the night,l
push the boat out,i
push the boat out,l
push the boat out,l
smell a rat,l
smell a rat,l
smell a rat,l
shoot the messenger,i
shoot the messenger,i
shoot the messenger,i
wake up and smell the coffee,l
fun and games,l
fun and games,l
fun and games,l
cast the first stone,l
cast the first stone,i
kick the bucket,l
kick the bucket,l
kick the bucket,l
fly a kite,l
fly a kite,l
fly a kite,l
in the clear,l
in the clear,l
have a few,l
have a few,l
have a few,l
to the hilt,i
to the hilt,i
to the hilt,i
open the floodgates,i
open the floodgates,l
open the floodgates,l
throw the book at,l
throw the book at,l
throw the book at,l
when the chips are down,l
when the chips are down,i
between a rock and a hard place,i
between a rock and a hard place,i
put down roots,l
put down roots,l
in your dreams,l
in your dreams,l
short and sweet,l
cut and dried,l
cut and dried,l
cut and dried,l
six of the best,l
six of the best,i
six of the best,l
behind closed doors,l
behind closed doors,l
behind closed doors,l
clear the decks,l
clear the decks,l
clear the decks,l
on the game,l
on the game,l
on the game,l
with open arms,l
with open arms,i
flash in the pan,l
flash in the pan,l
flash in the pan,i
rough around the edges,l
rough around the edges,l
fly off the handle,i
fly off the handle,i
see the light,l
see the light,l
see the light,i
pour cold water on,l
pour cold water on,l
pour cold water on,l
fire in the belly,l
get a grip,l
get a grip,l
get a grip,l
in the loop,l
in the loop,l
in the loop,l
fly in the face of,i
fly in the face of,l
get the boot,l
get the boot,l
on and off,l
on and off,i
on and off,l
cook the books,l
cook the books,l
cook the books,l
on the same page,l
on the same page,l
run a mile,l
run a mile,l
run a mile,l
on thin ice,i
on thin ice,i
close to home,l
close to home,l
close to home,l
in the bag,l
in the bag,l
in the raw,l
in the raw,l
cut the mustard,l
force someone's hand,i
force someone's hand,i
in the final analysis,i
in the final analysis,i
in the final analysis,i
up in the air,l
up in the air,i
fall from grace,l
fall from grace,i
fall from grace,l
full of beans,l
full of beans,l
full of beans,l
press the panic button,l
press the panic button,l
press the panic button,l
have a heart,l
have a heart,l
have a heart,l
on the fly,l
on the fly,i
get stuck in,l
get stuck in,l
get stuck in,l
out of the box,i
out of the box,l
out of the box,l
on the warpath,i
on the warpath,i
on the warpath,i
take a dive,l
take a dive,l
take a dive,l
scratch the surface,l
scratch the surface,l
scratch the surface,l
hammer and tongs,l
hammer and tongs,l
hammer and tongs,l
make a clean break,l
make a clean break,l
make a clean break,l
at sixes and sevens,l
nuts and bolts,l
nuts and bolts,l
nuts and bolts,l
the ball is in someone's court,l
the ball is in someone's court,l
get a life,l
get a life,l
get a life,l
on the nose,l
on the nose,l
on the nose,l
on a shoestring,l
in the driver's seat,l
in the driver's seat,l
wet behind the ears,l
wet behind the ears,l
wet behind the ears,l
up a tree,l
up a tree,l
up a tree,l
pick someone's brain,i
fill someone's shoes,l
save someone's skin,l
save someone's skin,l
walk all over,l
walk all over,l
walk all over,l
hot and heavy,l
hot and heavy,l
hot and heavy,l
strike a chord,l
strike a chord,l
strike a chord,l
batten down the hatches,i
batten down the hatches,i
batten down the hatches,i
cap in hand,l
cap in hand,l
cap in hand,l
kicking and screaming,l
kicking and screaming,l
kicking and screaming,l
sick and tired,l
sick and tired,l
on the cards,l
on the cards,l
face the music,l
face the music,l
come in from the cold,l
come in from the cold,l
come in from the cold,l
head over heels,l
head over heels,l
head over heels,l
reach for the stars,l
for a song,l
for a song,l
for a song,l
down the tubes,l
down the tubes,l
down the tubes,l
no strings attached,l
no strings attached,i
no strings attached,i
spit it out,l
spit it out,l
spit it out,l
don't hold your breath,l
don't hold your breath,l
don't hold your breath,l
stand up and be counted,l
stand up and be counted,l
far and away,i
far and away,i
far and away,i
sink or swim,i
sink or swim,i
sink or swim,i
hit the bottle,l
hit the bottle,l
hit the bottle,l
turn over a new leaf,l
turn over a new leaf,l
put the boot in,l
put the boot in,l
make a splash,l
make a splash,l
draw a line in the sand,l
push someone's buttons,i
push someone's buttons,l
separate the wheat from the chaff,l
separate the wheat from the chaff,l
get to grips with,i
get under someone's skin,l
get under someone's skin,l
get under someone's skin,i
up to speed,l
up to speed,l
go with the flow,l
go with the flow,i
rule the roost,i
rule the roost,i
rule the roost,i
in the fast lane,l
in the fast lane,l
in the fast lane,l
break the back of,i
break the back of,l
break the back of,i
put words in someone's mouth,l
put words in someone's mouth,i
put words in someone's mouth,i
shut the door on,l
shut the door on,l
shut the door on,l
kiss of death,i
kiss of death,i
kiss of death,i
on the skids,i
on the skids,i
on the skids,l
light at the end of the tunnel,i
light at the end of the tunnel,i
light at the end of the tunnel,l
on a roll,l
on a roll,l
rock the boat,i
rock the boat,l
below the belt,l
below the belt,l
below the belt,l
see eye to eye,l
see eye to eye,l
get it up,l
get it up,l
get it up,l
get away with murder,i
get away with murder,i
get away with murder,i
one of those things,l
one of those things,l
joined at the hip,l
joined at the hip,l
have a ball,l
have a ball,l
under the sun,l
under the sun,l
under the sun,l
on the wagon,l
on the wagon,l
on the wagon,l
call a spade a spade,l
call a spade a spade,l
call a spade a spade,l
spill the beans,l
spill the beans,l
on the button,l
on the button,l
on the button,l
black and blue,l
black and blue,l
black and blue,l
put the cart before the horse,l
bells and whistles,l
bells and whistles,l
in cold blood,i
in cold blood,i
carrot and stick,l
carrot and stick,l
down the road,l
down the road,i
down the road,l
heads will roll,i
heads will roll,i
at the end of the day,l
at the end of the day,l
at the end of the day,l
heart and soul,l
heart and soul,l
heart and soul,l
pack a punch,i
pack a punch,i
pack a punch,i
eat someone alive,i
eat someone alive,i
eat someone alive,i
tie the knot,l
tie the knot,l
tie the knot,l
step on it,l
step on it,l
out of the picture,l
out of the picture,i
break the ice,i
break the ice,i
break the ice,i
pop the question,l
pop the question,l
pop the question,l
full speed ahead,i
full speed ahead,l
full speed ahead,i
point the finger,l
point the finger,l
sign on the dotted line,l
sign on the dotted line,l
sign on the dotted line,l
up the ante,i
up the ante,l
up the ante,i
bring home the bacon,l
bring home the bacon,l
bring home the bacon,l
with a view to,i
with a view to,i
with a view to,l
move heaven and earth,i
move heaven and earth,i
move heaven and earth,i
across the board,i
across the board,i
tip the scales,i
tip the scales,i
face to face,l
face to face,l
face to face,l
hold someone's hand,l
hold someone's hand,l
hold someone's hand,l
cut from the same cloth,l
cut from the same cloth,l
cut from the same cloth,l
licence to print money,l
licence to print money,l
licence to print money,l
on the mend,l
on the mend,l
on the mend,l
go all the way,l
go all the way,i
go all the way,l
come with the territory,i
come with the territory,i
the bee's knees,l
the bee's knees,l
the bee's knees,l
on the back of,l
on the back of,l
on the back of,l
get a rise out of,i
get off the ground,i
get off the ground,i
get off the ground,l
under the table,l
under the table,l
under the table,l
do someone proud,i
do someone proud,l
do someone proud,l
down to the wire,i
down to the wire,i
down to the wire,l
go the distance,l
go the distance,i
go the distance,i
fast and furious,l
fast and furious,i
fast and furious,l
watch this space,i
watch this space,l
set the wheels in motion,l
set the wheels in motion,l
set the wheels in motion,l
to the tune of,l
to the tune of,l
to the tune of,l
on the back burner,l
on the back burner,l
on the back burner,l
turn the screw,l
turn the screw,l
turn the screw,l
glass ceiling,l
glass ceiling,l
glass ceiling,l
grass root,l
grass root,l
grass root,l
head hunter,i
head hunter,i
head hunter,i
heavy cross,l
heavy cross,l
heavy cross,l
banana republic,i
banana republic,i
banana republic,l
crocodile tear,l
crocodile tear,l
crocodile tear,l
eager beaver,l
eager beaver,l
cutting edge,i
cutting edge,i
cutting edge,l
melting pot,i
melting pot,l
melting pot,i
hot potato,l
hot potato,l
hot potato,l
monkey business,l
monkey business,l
monkey business,l
big cheese,i
big cheese,l
big cheese,l
nest egg,l
nest egg,l
big picture,l
big picture,l
big picture,l
night owl,l
night owl,l
night owl,l
fashion plate,l
fashion plate,l
fashion plate,i
big wig,l
big wig,l
big wig,l
flower child,l
flower child,i
flower child,l
panda car,l
black box,l
black box,l
black box,l
flea market,l
flea market,l
flea market,l
goose egg,l
blind alley,i
blind alley,i
blind alley,i
low profile,l
low profile,l
low profile,l
blue blood,i
blue blood,i
blue blood,i
grandfather clock,l
grandfather clock,l
grandfather clock,l
guinea pig,l
guinea pig,l
guinea pig,i
graveyard shift,i
graveyard shift,l
gravy train,l
gravy train,l
gravy train,l
rat run,l
rock bottom,i
rock bottom,i
rock bottom,i
pipe dream,l
pipe dream,i
pipe dream,i
rocket science,l
rocket science,l
rocket science,l
poison pill,i
poison pill,i
poison pill,i
shrinking violet,i
shrinking violet,l
shrinking violet,l
silver bullet,i
silver bullet,i
silver bullet,i
damp squib,i
dark horse,l
dark horse,i
dark horse,i
ivory tower,i
ivory tower,i
ivory tower,i
kangaroo court,l
kangaroo court,l
kangaroo court,l
sitting duck,l
double cross,l
double cross,i
double cross,l
smoking gun,i
smoking gun,i
double dutch,l
double dutch,l
double dutch,l
snake oil,l
snake oil,l
snake oil,i
smoke screen,i
smoke screen,i
smoke screen,i
swan song,i
swan song,l
swan song,l
old flame,l
old flame,l
old flame,l
zebra crossing,l
zebra crossing,l
zebra crossing,l
silver lining,i
top dog,l
bad hat,l
bad hat,l
bad hat,l
acid test,l
acid test,i
acid test,i
big fish,l
agony aunt,i
brass ring,l
brass ring,l
brass ring,l
busy bee,l
closed book,l
closed book,l
closed book,l
