idiom,pred
to die for,l
everything but the kitchen sink,i
spend a penny,i
spend a penny,i
spend a penny,i
in black and white,l
in black and white,u
in black and white,i
doom and gloom,i
doom and gloom,i
doom and gloom,i
keep tabs on,l
keep tabs on,i
keep tabs on,i
get the picture,i
get the picture,i
get the picture,i
look the other way,i
look the other way,i
look the other way,i
burst someone's bubble,i
burst someone's bubble,i
burst someone's bubble,i
fall in line,i
fall in line,i
fall in line,l
water under the bridge,i
water under the bridge,i
water under the bridge,i
keep a lid on,i
keep a lid on,i
keep a lid on,i
down the drain,i
down the drain,i
down the drain,l
make the cut,i
make the cut,i
make the cut,i
free and easy,i
free and easy,i
free and easy,i
with a vengeance,i
cut both ways,i
cut both ways,l
cut both ways,i
sing the praises of,i
sing the praises of,i
sing the praises of,l
hold the line,l
pull the plug,i
pull the plug,i
pull the plug,l
make a move,i
make a move,l
make a move,i
make a meal of,i
make a meal of,i
make a meal of,i
the icing on the cake,i
the icing on the cake,i
the icing on the cake,i
in the red,l
in the red,l
in the red,i
feel the pinch,i
feel the pinch,i
feel the pinch,i
under the microscope,l
under the microscope,i
under the microscope,i
pay the piper,i
pay the piper,u
pay the piper,u
on the trot,i
on the trot,i
on the trot,l
peaches and cream,i
peaches and cream,i
toe the line,i
toe the line,l
grasp the nettle,i
grasp the nettle,i
grasp the nettle,i
high and mighty,i
high and mighty,i
high and mighty,u
in the hole,l
in the hole,l
in the hole,i
take the fall,i
take the fall,i
take the fall,i
in the offing,i
in the offing,i
in the offing,i
ride roughshod over,i
ride roughshod over,i
ride roughshod over,i
crash and burn,i
crash and burn,i
crash and burn,l
dyed in the wool,i
dyed in the wool,i
dyed in the wool,i
fight fire with fire,i
fight fire with fire,i
fight fire with fire,i
all over the place,i
all over the place,i
all over the place,i
grind to a halt,l
grind to a halt,l
grind to a halt,i
in a nutshell,l
in a nutshell,i
rise and shine,i
take a back seat,i
take a bath,l
take a bath,i
take a bath,i
bury the hatchet,i
bury the hatchet,i
in the soup,i
in the soup,i
in the soup,i
grease the wheels,i
grease the wheels,i
grease the wheels,i
apples and oranges,l
apples and oranges,i
follow in someone's footsteps,i
follow in someone's footsteps,i
follow in someone's footsteps,i
under the wire,i
under the wire,i
under the wire,i
out of the blue,i
out of the blue,i
out of the blue,i
over the moon,i
over the moon,l
throw down the gauntlet,i
throw down the gauntlet,i
take the bull by the horns,l
take the bull by the horns,i
take the bull by the horns,i
over the top,l
over the top,i
over the top,i
sweetness and light,i
sweetness and light,l
behind someone's back,i
behind someone's back,l
on the ropes,i
take the cake,i
dig up dirt,i
dig up dirt,i
dig up dirt,i
left and right,l
dead in the water,i
dead in the water,i
dead in the water,i
take no prisoners,l
run out of steam,i
take a hike,i
take a hike,i
take a hike,i
go the extra mile,i
under a cloud,u
under a cloud,i
under a cloud,i
in someone's pocket,u
in someone's pocket,i
in someone's pocket,l
on the shelf,i
on the shelf,l
on the shelf,l
pound the pavement,l
cut and thrust,i
cut and thrust,i
song and dance,l
song and dance,i
song and dance,i
turn the tables,i
turn the tables,i
over the hill,i
over the hill,i
over the hill,i
out of the loop,i
drop the ball,i
the buck stops here,l
the buck stops here,i
the buck stops here,u
on the rocks,i
on the rocks,i
on the rocks,i
break someone's heart,i
break someone's heart,i
break someone's heart,i
steal someone's thunder,l
slap on the wrist,i
slap on the wrist,i
on the make,l
on the make,l
on the make,i
things that go bump in the night,i
push the boat out,i
push the boat out,i
push the boat out,l
smell a rat,l
smell a rat,l
smell a rat,l
shoot the messenger,i
shoot the messenger,i
shoot the messenger,i
wake up and smell the coffee,i
fun and games,i
fun and games,i
fun and games,l
cast the first stone,i
cast the first stone,i
kick the bucket,i
kick the bucket,l
kick the bucket,u
fly a kite,i
fly a kite,l
fly a kite,l
in the clear,i
in the clear,i
have a few,u
have a few,l
have a few,i
to the hilt,i
to the hilt,i
to the hilt,i
open the floodgates,i
open the floodgates,i
open the floodgates,i
throw the book at,i
throw the book at,i
throw the book at,i
when the chips are down,l
when the chips are down,l
between a rock and a hard place,i
between a rock and a hard place,l
put down roots,l
put down roots,l
in your dreams,i
in your dreams,i
short and sweet,l
cut and dried,i
cut and dried,i
cut and dried,l
six of the best,i
six of the best,i
six of the best,l
behind closed doors,l
behind closed doors,i
behind closed doors,l
clear the decks,i
clear the decks,i
clear the decks,u
on the game,i
on the game,i
on the game,l
with open arms,i
with open arms,i
flash in the pan,i
flash in the pan,l
flash in the pan,l
rough around the edges,i
rough around the edges,i
fly off the handle,i
fly off the handle,i
see the light,i
see the light,i
see the light,i
pour cold water on,i
pour cold water on,i
pour cold water on,i
fire in the belly,i
get a grip,i
get a grip,l
get a grip,i
in the loop,l
in the loop,l
in the loop,l
fly in the face of,i
fly in the face of,i
get the boot,l
get the boot,i
on and off,i
on and off,l
on and off,i
cook the books,i
cook the books,l
cook the books,i
on the same page,i
on the same page,i
run a mile,i
run a mile,i
run a mile,u
on thin ice,l
on thin ice,l
close to home,l
close to home,l
close to home,l
in the bag,i
in the bag,i
in the raw,i
in the raw,i
cut the mustard,i
force someone's hand,l
force someone's hand,l
in the final analysis,l
in the final analysis,l
in the final analysis,l
up in the air,i
up in the air,l
fall from grace,l
fall from grace,l
fall from grace,l
full of beans,i
full of beans,l
full of beans,i
press the panic button,i
press the panic button,i
press the panic button,i
have a heart,i
have a heart,i
have a heart,i
on the fly,l
on the fly,l
get stuck in,i
get stuck in,i
get stuck in,i
out of the box,i
out of the box,i
out of the box,i
on the warpath,i
on the warpath,i
on the warpath,i
take a dive,i
take a dive,i
take a dive,u
scratch the surface,i
scratch the surface,i
scratch the surface,i
hammer and tongs,i
hammer and tongs,l
hammer and tongs,i
make a clean break,i
make a clean break,l
make a clean break,i
at sixes and sevens,u
nuts and bolts,l
nuts and bolts,i
nuts and bolts,l
the ball is in someone's court,l
the ball is in someone's court,i
get a life,l
get a life,l
get a life,l
on the nose,l
on the nose,u
on the nose,u
on a shoestring,i
in the driver's seat,l
in the driver's seat,i
wet behind the ears,i
wet behind the ears,i
wet behind the ears,i
up a tree,i
up a tree,i
up a tree,i
pick someone's brain,i
fill someone's shoes,l
save someone's skin,i
save someone's skin,i
walk all over,i
walk all over,i
walk all over,i
hot and heavy,i
hot and heavy,i
hot and heavy,i
strike a chord,i
strike a chord,l
strike a chord,i
batten down the hatches,l
batten down the hatches,i
batten down the hatches,i
cap in hand,i
cap in hand,i
cap in hand,i
kicking and screaming,i
kicking and screaming,i
kicking and screaming,i
sick and tired,i
sick and tired,i
on the cards,i
on the cards,i
face the music,i
face the music,i
come in from the cold,i
come in from the cold,i
come in from the cold,i
head over heels,l
head over heels,l
head over heels,i
reach for the stars,i
for a song,i
for a song,i
for a song,i
down the tubes,i
down the tubes,i
down the tubes,l
no strings attached,i
no strings attached,i
no strings attached,i
spit it out,i
spit it out,i
spit it out,i
don't hold your breath,l
don't hold your breath,i
don't hold your breath,i
stand up and be counted,i
stand up and be counted,i
far and away,i
far and away,i
far and away,i
sink or swim,i
sink or swim,i
sink or swim,i
hit the bottle,i
hit the bottle,i
hit the bottle,i
turn over a new leaf,l
turn over a new leaf,i
put the boot in,u
put the boot in,i
make a splash,i
make a splash,l
draw a line in the sand,l
push someone's buttons,i
push someone's buttons,i
separate the wheat from the chaff,i
separate the wheat from the chaff,i
get to grips with,i
get under someone's skin,i
get under someone's skin,i
get under someone's skin,i
up to speed,i
up to speed,i
go with the flow,i
go with the flow,i
rule the roost,i
rule the roost,u
rule the roost,i
in the fast lane,l
in the fast lane,i
in the fast lane,i
break the back of,i
break the back of,l
break the back of,i
put words in someone's mouth,i
put words in someone's mouth,l
put words in someone's mouth,i
shut the door on,i
shut the door on,i
shut the door on,i
kiss of death,i
kiss of death,i
kiss of death,l
on the skids,l
on the skids,l
on the skids,i
light at the end of the tunnel,i
light at the end of the tunnel,i
light at the end of the tunnel,l
on a roll,i
on a roll,i
rock the boat,i
rock the boat,i
below the belt,u
below the belt,i
below the belt,l
see eye to eye,i
see eye to eye,i
get it up,l
get it up,i
get it up,l
get away with murder,i
get away with murder,i
get away with murder,i
one of those things,l
one of those things,l
joined at the hip,l
joined at the hip,i
have a ball,i
have a ball,l
under the sun,i
under the sun,i
under the sun,i
on the wagon,i
on the wagon,i
on the wagon,i
call a spade a spade,l
call a spade a spade,i
call a spade a spade,i
spill the beans,i
spill the beans,i
on the button,i
on the button,i
on the button,i
black and blue,l
black and blue,i
black and blue,i
put the cart before the horse,i
bells and whistles,i
bells and whistles,i
in cold blood,l
in cold blood,i
carrot and stick,i
carrot and stick,i
down the road,l
down the road,l
down the road,l
heads will roll,i
heads will roll,i
at the end of the day,i
at the end of the day,i
at the end of the day,i
heart and soul,i
heart and soul,l
heart and soul,i
pack a punch,i
pack a punch,i
pack a punch,i
eat someone alive,i
eat someone alive,i
eat someone alive,i
tie the knot,i
tie the knot,l
tie the knot,i
step on it,i
step on it,i
out of the picture,i
out of the picture,i
break the ice,i
break the ice,l
break the ice,i
pop the question,l
pop the question,i
pop the question,i
full speed ahead,l
full speed ahead,l
full speed ahead,i
point the finger,i
point the finger,i
sign on the dotted line,i
sign on the dotted line,i
sign on the dotted line,l
up the ante,i
up the ante,i
up the ante,i
bring home the bacon,l
bring home the bacon,i
bring home the bacon,i
with a view to,i
with a view to,i
with a view to,l
move heaven and earth,l
move heaven and earth,i
move heaven and earth,i
across the board,l
across the board,l
tip the scales,u
tip the scales,l
face to face,i
face to face,l
face to face,l
hold someone's hand,l
hold someone's hand,i
hold someone's hand,i
cut from the same cloth,i
cut from the same cloth,i
cut from the same cloth,i
licence to print money,l
licence to print money,l
licence to print money,i
on the mend,i
on the mend,i
on the mend,i
go all the way,i
go all the way,i
go all the way,u
come with the territory,l
come with the territory,i
the bee's knees,i
the bee's knees,i
the bee's knees,l
on the back of,i
on the back of,i
on the back of,i
get a rise out of,i
get off the ground,i
get off the ground,i
get off the ground,i
under the table,i
under the table,i
under the table,i
do someone proud,l
do someone proud,l
do someone proud,i
down to the wire,i
down to the wire,i
down to the wire,i
go the distance,i
go the distance,i
go the distance,i
fast and furious,i
fast and furious,i
fast and furious,i
watch this space,u
watch this space,i
set the wheels in motion,i
set the wheels in motion,l
set the wheels in motion,i
to the tune of,i
to the tune of,i
to the tune of,i
on the back burner,i
on the back burner,i
on the back burner,i
turn the screw,i
turn the screw,l
turn the screw,i
glass ceiling,i
glass ceiling,i
glass ceiling,i
grass root,i
grass root,l
grass root,l
head hunter,i
head hunter,l
head hunter,l
heavy cross,l
heavy cross,i
heavy cross,i
banana republic,i
banana republic,i
banana republic,i
crocodile tear,i
crocodile tear,l
crocodile tear,i
eager beaver,l
eager beaver,i
cutting edge,i
cutting edge,l
cutting edge,i
melting pot,l
melting pot,i
melting pot,i
hot potato,i
hot potato,i
hot potato,i
monkey business,i
monkey business,u
monkey business,i
big cheese,i
big cheese,i
big cheese,i
nest egg,i
nest egg,i
big picture,i
big picture,i
big picture,i
night owl,i
night owl,l
night owl,l
fashion plate,i
fashion plate,i
fashion plate,i
big wig,i
big wig,i
big wig,l
flower child,i
flower child,l
flower child,i
panda car,i
black box,i
black box,u
black box,i
flea market,l
flea market,l
flea market,l
goose egg,l
blind alley,u
blind alley,i
blind alley,i
low profile,l
low profile,l
low profile,i
blue blood,i
blue blood,l
blue blood,i
grandfather clock,l
grandfather clock,i
grandfather clock,l
guinea pig,i
guinea pig,i
guinea pig,u
graveyard shift,i
graveyard shift,l
gravy train,i
gravy train,i
gravy train,i
rat run,l
rock bottom,i
rock bottom,l
rock bottom,i
pipe dream,i
pipe dream,i
pipe dream,i
rocket science,l
rocket science,u
rocket science,i
poison pill,i
poison pill,i
poison pill,l
shrinking violet,i
shrinking violet,i
shrinking violet,l
silver bullet,i
silver bullet,l
silver bullet,i
damp squib,l
dark horse,i
dark horse,l
dark horse,l
ivory tower,i
ivory tower,i
ivory tower,i
kangaroo court,l
kangaroo court,i
kangaroo court,l
sitting duck,i
double cross,i
double cross,l
double cross,l
smoking gun,i
smoking gun,i
double dutch,u
double dutch,i
double dutch,i
snake oil,i
snake oil,l
snake oil,i
smoke screen,i
smoke screen,i
smoke screen,i
swan song,i
swan song,i
swan song,i
old flame,i
old flame,u
old flame,l
zebra crossing,l
zebra crossing,i
zebra crossing,l
silver lining,i
top dog,i
bad hat,i
bad hat,i
bad hat,i
acid test,i
acid test,i
acid test,i
big fish,i
agony aunt,i
brass ring,i
brass ring,i
brass ring,i
busy bee,i
closed book,i
closed book,l
closed book,i
