idiom,response
to die for,i
everything but the kitchen sink,i
spend a penny,i
spend a penny,i
spend a penny,i
in black and white,i
in black and white,i
in black and white,l
doom and gloom,l
doom and gloom,i
doom and gloom,i
keep tabs on,l
keep tabs on,i
keep tabs on,i
get the picture,u
get the picture,i
get the picture,u
look the other way,u
look the other way,u
look the other way,i
burst someone's bubble,i
burst someone's bubble,i
burst someone's bubble,i
fall in line,l
fall in line,u
fall in line,l
water under the bridge,i
water under the bridge,i
water under the bridge,i
keep a lid on,i
keep a lid on,i
keep a lid on,l
down the drain,u
down the drain,i
down the drain,l
make the cut,l
make the cut,l
make the cut,i
free and easy,i
free and easy,l
free and easy,i
with a vengeance,i
cut both ways,i
cut both ways,l
cut both ways,l
sing the praises of,l
sing the praises of,i
sing the praises of,i
hold the line,l
pull the plug,l
pull the plug,i
pull the plug,u
make a move,l
make a move,u
make a move,u
make a meal of,l
make a meal of,l
make a meal of,l
the icing on the cake,i
the icing on the cake,i
the icing on the cake,i
in the red,l
in the red,l
in the red,l
feel the pinch,i
feel the pinch,u
feel the pinch,u
under the microscope,l
under the microscope,u
under the microscope,l
pay the piper,u
pay the piper,i
pay the piper,i
on the trot,l
on the trot,l
on the trot,i
peaches and cream,i
peaches and cream,i
toe the line,l
toe the line,l
grasp the nettle,l
grasp the nettle,l
grasp the nettle,i
high and mighty,i
high and mighty,i
high and mighty,i
in the hole,l
in the hole,u
in the hole,l
take the fall,u
take the fall,i
take the fall,l
in the offing,u
in the offing,l
in the offing,l
ride roughshod over,i
ride roughshod over,i
ride roughshod over,i
crash and burn,l
crash and burn,l
crash and burn,i
dyed in the wool,l
dyed in the wool,i
dyed in the wool,i
fight fire with fire,u
fight fire with fire,l
fight fire with fire,l
all over the place,l
all over the place,l
all over the place,u
grind to a halt,l
grind to a halt,l
grind to a halt,l
in a nutshell,l
in a nutshell,l
rise and shine,i
take a back seat,u
take a bath,i
take a bath,i
take a bath,u
bury the hatchet,i
bury the hatchet,i
in the soup,l
in the soup,l
in the soup,l
grease the wheels,i
grease the wheels,i
grease the wheels,i
apples and oranges,l
apples and oranges,l
follow in someone's footsteps,l
follow in someone's footsteps,l
follow in someone's footsteps,l
under the wire,l
under the wire,l
under the wire,u
out of the blue,l
out of the blue,i
out of the blue,l
over the moon,u
over the moon,i
throw down the gauntlet,i
throw down the gauntlet,i
take the bull by the horns,i
take the bull by the horns,i
take the bull by the horns,i
over the top,u
over the top,u
over the top,i
sweetness and light,u
sweetness and light,i
behind someone's back,u
behind someone's back,l
on the ropes,i
take the cake,i
dig up dirt,l
dig up dirt,l
dig up dirt,l
left and right,l
dead in the water,u
dead in the water,l
dead in the water,i
take no prisoners,i
run out of steam,i
take a hike,l
take a hike,u
take a hike,i
go the extra mile,l
under a cloud,i
under a cloud,i
under a cloud,l
in someone's pocket,i
in someone's pocket,i
in someone's pocket,u
on the shelf,u
on the shelf,u
on the shelf,l
pound the pavement,l
cut and thrust,l
cut and thrust,i
song and dance,u
song and dance,i
song and dance,i
turn the tables,i
turn the tables,u
over the hill,i
over the hill,i
over the hill,u
out of the loop,l
drop the ball,u
the buck stops here,i
the buck stops here,i
the buck stops here,i
on the rocks,l
on the rocks,l
on the rocks,i
break someone's heart,i
break someone's heart,u
break someone's heart,i
steal someone's thunder,i
slap on the wrist,l
slap on the wrist,u
on the make,u
on the make,i
on the make,u
things that go bump in the night,i
push the boat out,l
push the boat out,l
push the boat out,l
smell a rat,i
smell a rat,u
smell a rat,i
shoot the messenger,i
shoot the messenger,i
shoot the messenger,i
wake up and smell the coffee,i
fun and games,l
fun and games,i
fun and games,i
cast the first stone,u
cast the first stone,i
kick the bucket,l
kick the bucket,l
kick the bucket,i
fly a kite,l
fly a kite,u
fly a kite,l
in the clear,l
in the clear,l
have a few,u
have a few,i
have a few,i
to the hilt,l
to the hilt,u
to the hilt,u
open the floodgates,u
open the floodgates,l
open the floodgates,l
throw the book at,i
throw the book at,i
throw the book at,i
when the chips are down,i
when the chips are down,i
between a rock and a hard place,i
between a rock and a hard place,i
put down roots,i
put down roots,u
in your dreams,i
in your dreams,i
short and sweet,i
cut and dried,l
cut and dried,l
cut and dried,l
six of the best,l
six of the best,l
six of the best,u
behind closed doors,l
behind closed doors,l
behind closed doors,l
clear the decks,u
clear the decks,l
clear the decks,i
on the game,l
on the game,u
on the game,i
with open arms,i
with open arms,l
flash in the pan,l
flash in the pan,l
flash in the pan,l
rough around the edges,u
rough around the edges,l
fly off the handle,l
fly off the handle,i
see the light,l
see the light,l
see the light,i
pour cold water on,l
pour cold water on,l
pour cold water on,l
fire in the belly,l
get a grip,l
get a grip,u
get a grip,l
in the loop,l
in the loop,l
in the loop,l
fly in the face of,i
fly in the face of,l
get the boot,u
get the boot,l
on and off,l
on and off,l
on and off,u
cook the books,i
cook the books,i
cook the books,i
on the same page,l
on the same page,u
run a mile,l
run a mile,l
run a mile,l
on thin ice,u
on thin ice,i
close to home,l
close to home,l
close to home,l
in the bag,l
in the bag,l
in the raw,l
in the raw,l
cut the mustard,u
force someone's hand,l
force someone's hand,i
in the final analysis,l
in the final analysis,u
in the final analysis,l
up in the air,i
up in the air,i
fall from grace,i
fall from grace,i
fall from grace,i
full of beans,i
full of beans,i
full of beans,i
press the panic button,u
press the panic button,l
press the panic button,u
have a heart,u
have a heart,i
have a heart,l
on the fly,l
on the fly,i
get stuck in,l
get stuck in,u
get stuck in,u
out of the box,l
out of the box,l
out of the box,i
on the warpath,i
on the warpath,l
on the warpath,i
take a dive,u
take a dive,l
take a dive,l
scratch the surface,l
scratch the surface,u
scratch the surface,u
hammer and tongs,l
hammer and tongs,i
hammer and tongs,l
make a clean break,l
make a clean break,l
make a clean break,l
at sixes and sevens,i
nuts and bolts,l
nuts and bolts,l
nuts and bolts,l
the ball is in someone's court,i
the ball is in someone's court,l
get a life,i
get a life,i
get a life,i
on the nose,u
on the nose,i
on the nose,l
on a shoestring,i
in the driver's seat,i
in the driver's seat,l
wet behind the ears,u
wet behind the ears,i
wet behind the ears,i
up a tree,l
up a tree,l
up a tree,l
pick someone's brain,u
fill someone's shoes,i
save someone's skin,l
save someone's skin,l
walk all over,u
walk all over,i
walk all over,u
hot and heavy,i
hot and heavy,i
hot and heavy,u
strike a chord,i
strike a chord,i
strike a chord,i
batten down the hatches,l
batten down the hatches,l
batten down the hatches,l
cap in hand,u
cap in hand,l
cap in hand,l
kicking and screaming,i
kicking and screaming,i
kicking and screaming,i
sick and tired,l
sick and tired,u
on the cards,u
on the cards,l
face the music,i
face the music,u
come in from the cold,i
come in from the cold,i
come in from the cold,i
head over heels,l
head over heels,i
head over heels,i
reach for the stars,i
for a song,i
for a song,l
for a song,l
down the tubes,i
down the tubes,i
down the tubes,i
no strings attached,i
no strings attached,i
no strings attached,i
spit it out,l
spit it out,l
spit it out,u
don't hold your breath,u
don't hold your breath,i
don't hold your breath,i
stand up and be counted,l
stand up and be counted,l
far and away,u
far and away,u
far and away,i
sink or swim,i
sink or swim,u
sink or swim,i
hit the bottle,l
hit the bottle,u
hit the bottle,l
turn over a new leaf,l
turn over a new leaf,i
put the boot in,i
put the boot in,u
make a splash,i
make a splash,l
draw a line in the sand,l
push someone's buttons,u
push someone's buttons,u
separate the wheat from the chaff,i
separate the wheat from the chaff,i
get to grips with,l
get under someone's skin,u
get under someone's skin,i
get under someone's skin,i
up to speed,l
up to speed,l
go with the flow,i
go with the flow,i
rule the roost,i
rule the roost,i
rule the roost,u
in the fast lane,u
in the fast lane,l
in the fast lane,l
break the back of,u
break the back of,u
break the back of,l
put words in someone's mouth,i
put words in someone's mouth,i
put words in someone's mouth,i
shut the door on,u
shut the door on,u
shut the door on,u
kiss of death,i
kiss of death,i
kiss of death,i
on the skids,l
on the skids,l
on the skids,i
light at the end of the tunnel,l
light at the end of the tunnel,i
light at the end of the tunnel,i
on a roll,i
on a roll,l
rock the boat,i
rock the boat,i
below the belt,l
below the belt,l
below the belt,u
see eye to eye,i
see eye to eye,i
get it up,u
get it up,u
get it up,l
get away with murder,i
get away with murder,u
get away with murder,i
one of those things,u
one of those things,i
joined at the hip,u
joined at the hip,l
have a ball,u
have a ball,i
under the sun,u
under the sun,l
under the sun,l
on the wagon,l
on the wagon,l
on the wagon,i
call a spade a spade,i
call a spade a spade,l
call a spade a spade,l
spill the beans,i
spill the beans,u
on the button,l
on the button,u
on the button,u
black and blue,i
black and blue,l
black and blue,i
put the cart before the horse,i
bells and whistles,l
bells and whistles,i
in cold blood,l
in cold blood,l
carrot and stick,i
carrot and stick,i
down the road,u
down the road,l
down the road,u
heads will roll,l
heads will roll,u
at the end of the day,i
at the end of the day,l
at the end of the day,i
heart and soul,i
heart and soul,i
heart and soul,i
pack a punch,u
pack a punch,u
pack a punch,i
eat someone alive,i
eat someone alive,i
eat someone alive,i
tie the knot,l
tie the knot,i
tie the knot,l
step on it,l
step on it,i
out of the picture,l
out of the picture,i
break the ice,l
break the ice,u
break the ice,l
pop the question,i
pop the question,i
pop the question,i
full speed ahead,l
full speed ahead,l
full speed ahead,i
point the finger,l
point the finger,i
sign on the dotted line,l
sign on the dotted line,l
sign on the dotted line,l
up the ante,i
up the ante,i
up the ante,u
bring home the bacon,i
bring home the bacon,l
bring home the bacon,i
with a view to,l
with a view to,u
with a view to,l
move heaven and earth,i
move heaven and earth,i
move heaven and earth,i
across the board,l
across the board,l
tip the scales,l
tip the scales,l
face to face,l
face to face,l
face to face,l
hold someone's hand,u
hold someone's hand,l
hold someone's hand,l
cut from the same cloth,i
cut from the same cloth,i
cut from the same cloth,i
licence to print money,i
licence to print money,i
licence to print money,i
on the mend,u
on the mend,l
on the mend,u
go all the way,l
go all the way,u
go all the way,u
come with the territory,u
come with the territory,i
the bee's knees,i
the bee's knees,i
the bee's knees,i
on the back of,l
on the back of,u
on the back of,u
get a rise out of,l
get off the ground,l
get off the ground,l
get off the ground,l
under the table,u
under the table,i
under the table,l
do someone proud,i
do someone proud,i
do someone proud,i
down to the wire,i
down to the wire,l
down to the wire,l
go the distance,l
go the distance,l
go the distance,i
fast and furious,u
fast and furious,l
fast and furious,i
watch this space,i
watch this space,i
set the wheels in motion,l
set the wheels in motion,l
set the wheels in motion,u
to the tune of,l
to the tune of,l
to the tune of,l
on the back burner,i
on the back burner,i
on the back burner,i
turn the screw,u
turn the screw,u
turn the screw,i
glass ceiling,l
glass ceiling,l
glass ceiling,u
grass root,i
grass root,i
grass root,l
head hunter,u
head hunter,l
head hunter,i
heavy cross,i
heavy cross,u
heavy cross,u
banana republic,i
banana republic,l
banana republic,i
crocodile tear,i
crocodile tear,i
crocodile tear,l
eager beaver,l
eager beaver,l
cutting edge,l
cutting edge,l
cutting edge,l
melting pot,i
melting pot,l
melting pot,i
hot potato,i
hot potato,i
hot potato,i
monkey business,u
monkey business,i
monkey business,u
big cheese,i
big cheese,i
big cheese,l
nest egg,l
nest egg,u
big picture,i
big picture,i
big picture,i
night owl,l
night owl,i
night owl,i
fashion plate,i
fashion plate,l
fashion plate,l
big wig,l
big wig,u
big wig,i
flower child,i
flower child,i
flower child,i
panda car,l
black box,i
black box,l
black box,l
flea market,u
flea market,i
flea market,l
goose egg,l
blind alley,u
blind alley,u
blind alley,l
low profile,u
low profile,l
low profile,l
blue blood,i
blue blood,l
blue blood,l
grandfather clock,l
grandfather clock,l
grandfather clock,l
guinea pig,u
guinea pig,l
guinea pig,l
graveyard shift,l
graveyard shift,l
gravy train,i
gravy train,i
gravy train,i
rat run,l
rock bottom,l
rock bottom,i
rock bottom,l
pipe dream,u
pipe dream,i
pipe dream,i
rocket science,i
rocket science,l
rocket science,i
poison pill,l
poison pill,l
poison pill,l
shrinking violet,l
shrinking violet,i
shrinking violet,i
silver bullet,l
silver bullet,u
silver bullet,i
damp squib,i
dark horse,i
dark horse,i
dark horse,i
ivory tower,i
ivory tower,i
ivory tower,i
kangaroo court,i
kangaroo court,i
kangaroo court,i
sitting duck,l
double cross,l
double cross,l
double cross,l
smoking gun,u
smoking gun,l
double dutch,i
double dutch,l
double dutch,l
snake oil,u
snake oil,i
snake oil,i
smoke screen,l
smoke screen,u
smoke screen,u
swan song,i
swan song,i
swan song,i
old flame,i
old flame,i
old flame,i
zebra crossing,l
zebra crossing,l
zebra crossing,l
silver lining,u
top dog,i
bad hat,i
bad hat,i
bad hat,i
acid test,l
acid test,l
acid test,l
big fish,l
agony aunt,i
brass ring,l
brass ring,u
brass ring,u
busy bee,l
closed book,u
closed book,i
closed book,l
