idiom,response
cut and dried,check
cut and dried,check
cut and dried,check
six of the best,check
six of the best,check
six of the best,check
behind closed doors,check
behind closed doors,l
behind closed doors,check
clear the decks,check
clear the decks,i
clear the decks,check
on the game,l
on the game,check
on the game,check
with open arms,i
with open arms,check
flash in the pan,check
flash in the pan,l
flash in the pan,check
rough around the edges,l
rough around the edges,i
fly off the handle,check
fly off the handle,check
see the light,check
see the light,check
see the light,check
pour cold water on,l
pour cold water on,check
pour cold water on,check
fire in the belly,check
get a grip,check
get a grip,check
get a grip,check
in the loop,i
in the loop,check
in the loop,check
fly in the face of,check
fly in the face of,i
get the boot,check
get the boot,l
on and off,check
on and off,check
on and off,check
cook the books,check
cook the books,check
cook the books,check
on the same page,check
on the same page,check
run a mile,check
run a mile,check
run a mile,check
on thin ice,l
on thin ice,u
close to home,check
close to home,check
close to home,check
in the bag,check
in the bag,check
in the raw,check
in the raw,check
cut the mustard,l
force someone's hand,i
force someone's hand,i
in the final analysis,check
in the final analysis,check
in the final analysis,check
up in the air,check
up in the air,check
fall from grace,i
fall from grace,check
fall from grace,check
full of beans,u
full of beans,check
full of beans,check
press the panic button,check
press the panic button,check
press the panic button,l
have a heart,check
have a heart,check
have a heart,check
on the fly,check
on the fly,check
get stuck in,check
get stuck in,check
get stuck in,l
out of the box,check
out of the box,check
out of the box,check
on the warpath,l
on the warpath,i
on the warpath,l
take a dive,check
take a dive,i
take a dive,check
scratch the surface,check
scratch the surface,check
scratch the surface,check
hammer and tongs,check
hammer and tongs,i
hammer and tongs,i
make a clean break,check
make a clean break,check
make a clean break,check
at sixes and sevens,check
nuts and bolts,check
nuts and bolts,check
nuts and bolts,check
the ball is in someone's court,check
the ball is in someone's court,check
get a life,check
get a life,check
get a life,check
on the nose,check
on the nose,check
on the nose,check
on a shoestring,check
in the driver's seat,check
in the driver's seat,check
wet behind the ears,l
wet behind the ears,check
wet behind the ears,check
up a tree,check
up a tree,check
up a tree,i
pick someone's brain,l
fill someone's shoes,check
save someone's skin,check
save someone's skin,check
walk all over,check
walk all over,check
walk all over,check
hot and heavy,check
hot and heavy,check
hot and heavy,check
strike a chord,u
strike a chord,check
strike a chord,check
batten down the hatches,check
batten down the hatches,l
batten down the hatches,check
cap in hand,check
cap in hand,i
cap in hand,check
kicking and screaming,i
kicking and screaming,i
kicking and screaming,check
sick and tired,check
sick and tired,check
on the cards,l
on the cards,l
face the music,check
face the music,i
come in from the cold,check
come in from the cold,check
come in from the cold,check
head over heels,check
head over heels,check
head over heels,l
reach for the stars,check
for a song,check
for a song,check
for a song,check
down the tubes,check
down the tubes,check
down the tubes,check
no strings attached,check
no strings attached,check
no strings attached,check
spit it out,check
spit it out,check
spit it out,l
don't hold your breath,check
don't hold your breath,check
don't hold your breath,check
stand up and be counted,check
stand up and be counted,check
far and away,check
far and away,check
far and away,l
sink or swim,i
sink or swim,check
sink or swim,check
hit the bottle,check
hit the bottle,check
hit the bottle,check
turn over a new leaf,check
turn over a new leaf,check
put the boot in,check
put the boot in,check
make a splash,check
make a splash,check
draw a line in the sand,check
push someone's buttons,check
push someone's buttons,check
separate the wheat from the chaff,check
separate the wheat from the chaff,check
get to grips with,check
get under someone's skin,i
get under someone's skin,check
get under someone's skin,check
up to speed,l
up to speed,check
go with the flow,l
go with the flow,l
rule the roost,check
rule the roost,check
rule the roost,check
in the fast lane,l
in the fast lane,check
in the fast lane,check
break the back of,l
break the back of,check
break the back of,check
put words in someone's mouth,check
put words in someone's mouth,check
put words in someone's mouth,check
shut the door on,check
shut the door on,check
shut the door on,check
kiss of death,check
kiss of death,check
kiss of death,check
on the skids,l
on the skids,l
on the skids,check
light at the end of the tunnel,check
light at the end of the tunnel,l
light at the end of the tunnel,check
on a roll,check
on a roll,i
rock the boat,check
rock the boat,check
below the belt,check
below the belt,i
below the belt,check
see eye to eye,check
see eye to eye,check
get it up,check
get it up,check
get it up,check
get away with murder,l
get away with murder,check
get away with murder,i
one of those things,i
one of those things,check
joined at the hip,check
joined at the hip,check
have a ball,l
have a ball,check
under the sun,check
under the sun,check
under the sun,i
on the wagon,check
on the wagon,check
on the wagon,check
call a spade a spade,check
call a spade a spade,check
call a spade a spade,check
spill the beans,i
spill the beans,check
on the button,check
on the button,check
on the button,check
black and blue,check
black and blue,check
black and blue,i
put the cart before the horse,check
bells and whistles,check
bells and whistles,check
in cold blood,i
in cold blood,i
carrot and stick,check
carrot and stick,check
down the road,check
down the road,check
down the road,check
heads will roll,l
heads will roll,check
at the end of the day,i
at the end of the day,check
at the end of the day,i
heart and soul,check
heart and soul,check
heart and soul,check
pack a punch,i
pack a punch,i
pack a punch,i
eat someone alive,check
eat someone alive,check
eat someone alive,i
tie the knot,check
tie the knot,check
tie the knot,l
step on it,l
step on it,check
out of the picture,check
out of the picture,i
break the ice,check
break the ice,i
break the ice,check
pop the question,i
pop the question,check
pop the question,check
full speed ahead,check
full speed ahead,check
full speed ahead,check
point the finger,check
point the finger,u
sign on the dotted line,check
sign on the dotted line,check
sign on the dotted line,check
up the ante,l
up the ante,i
up the ante,check
bring home the bacon,check
bring home the bacon,check
bring home the bacon,check
with a view to,l
with a view to,check
with a view to,check
move heaven and earth,check
move heaven and earth,check
move heaven and earth,i
across the board,check
across the board,check
tip the scales,check
tip the scales,check
face to face,check
face to face,check
face to face,check
hold someone's hand,check
hold someone's hand,check
hold someone's hand,check
cut from the same cloth,check
cut from the same cloth,check
cut from the same cloth,check
licence to print money,l
licence to print money,l
licence to print money,check
on the mend,check
on the mend,i
on the mend,check
go all the way,check
go all the way,check
go all the way,check
come with the territory,check
come with the territory,check
the bee's knees,check
the bee's knees,check
the bee's knees,check
on the back of,check
on the back of,check
on the back of,check
get a rise out of,check
get off the ground,check
get off the ground,l
get off the ground,check
under the table,check
under the table,check
under the table,check
do someone proud,check
do someone proud,i
do someone proud,check
down to the wire,l
down to the wire,check
down to the wire,check
go the distance,check
go the distance,i
go the distance,i
fast and furious,check
fast and furious,check
fast and furious,check
watch this space,check
watch this space,check
set the wheels in motion,l
set the wheels in motion,check
set the wheels in motion,i
to the tune of,check
to the tune of,check
to the tune of,check
on the back burner,check
on the back burner,check
on the back burner,check
turn the screw,check
turn the screw,check
turn the screw,check
glass ceiling,u
glass ceiling,check
glass ceiling,check
grass root,check
grass root,check
grass root,check
head hunter,check
head hunter,check
head hunter,l
heavy cross,check
heavy cross,check
heavy cross,i
banana republic,check
banana republic,i
banana republic,i
crocodile tear,i
crocodile tear,l
crocodile tear,check
eager beaver,i
eager beaver,i
cutting edge,check
cutting edge,check
cutting edge,check
melting pot,check
melting pot,check
melting pot,l
hot potato,check
hot potato,i
hot potato,check
monkey business,check
monkey business,check
monkey business,check
big cheese,check
big cheese,check
big cheese,check
nest egg,check
nest egg,check
big picture,check
big picture,check
big picture,check
night owl,check
night owl,i
night owl,check
fashion plate,check
fashion plate,check
fashion plate,i
big wig,check
big wig,check
big wig,check
flower child,check
flower child,check
flower child,i
panda car,l
black box,check
black box,check
black box,check
flea market,check
flea market,check
flea market,check
goose egg,check
blind alley,check
blind alley,check
blind alley,check
low profile,check
low profile,check
low profile,check
blue blood,l
blue blood,check
blue blood,check
grandfather clock,check
grandfather clock,check
grandfather clock,i
guinea pig,check
guinea pig,l
guinea pig,check
graveyard shift,check
graveyard shift,check
gravy train,check
gravy train,check
gravy train,check
rat run,check
rock bottom,check
rock bottom,check
rock bottom,check
pipe dream,i
pipe dream,l
pipe dream,check
rocket science,check
rocket science,check
rocket science,check
poison pill,check
poison pill,check
poison pill,l
shrinking violet,check
shrinking violet,i
shrinking violet,i
silver bullet,check
silver bullet,check
silver bullet,check
damp squib,check
dark horse,u
dark horse,check
dark horse,i
ivory tower,i
ivory tower,i
ivory tower,i
kangaroo court,check
kangaroo court,check
kangaroo court,check
sitting duck,i
double cross,check
double cross,check
double cross,check
smoking gun,check
smoking gun,i
double dutch,check
double dutch,check
double dutch,check
snake oil,check
snake oil,check
snake oil,check
smoke screen,check
smoke screen,check
smoke screen,check
swan song,check
swan song,check
swan song,i
old flame,i
old flame,check
old flame,check
zebra crossing,check
zebra crossing,check
zebra crossing,check
silver lining,check
top dog,check
bad hat,check
bad hat,check
bad hat,l
acid test,check
acid test,check
acid test,check
big fish,check
agony aunt,check
brass ring,check
brass ring,i
brass ring,i
busy bee,check
closed book,check
closed book,l
closed book,check
