idiom,response
follow in someone's footsteps,check
under the wire,u
under the wire,check
under the wire,check
out of the blue,check
out of the blue,check
out of the blue,check
over the moon,u
over the moon,check
throw down the gauntlet,check
throw down the gauntlet,check
take the bull by the horns,u
take the bull by the horns,check
take the bull by the horns,check
over the top,check
over the top,check
over the top,check
sweetness and light,u
sweetness and light,i
behind someone's back,check
behind someone's back,check
on the ropes,check
take the cake,check
dig up dirt,i
dig up dirt,check
dig up dirt,check
left and right,check
dead in the water,check
dead in the water,check
dead in the water,check
take no prisoners,check
run out of steam,check
take a hike,check
take a hike,check
take a hike,check
go the extra mile,u
under a cloud,check
under a cloud,check
under a cloud,check
in someone's pocket,check
in someone's pocket,check
in someone's pocket,check
on the shelf,check
on the shelf,check
on the shelf,check
pound the pavement,check
cut and thrust,check
cut and thrust,check
song and dance,check
song and dance,check
song and dance,check
turn the tables,check
turn the tables,check
over the hill,check
over the hill,check
over the hill,check
out of the loop,check
drop the ball,check
the buck stops here,check
the buck stops here,check
the buck stops here,check
on the rocks,check
on the rocks,check
on the rocks,check
break someone's heart,check
break someone's heart,check
break someone's heart,check
steal someone's thunder,i
slap on the wrist,u
slap on the wrist,check
on the make,check
on the make,check
on the make,check
things that go bump in the night,check
push the boat out,check
push the boat out,check
push the boat out,check
smell a rat,check
smell a rat,check
smell a rat,check
shoot the messenger,l
shoot the messenger,l
shoot the messenger,l
wake up and smell the coffee,check
fun and games,check
fun and games,check
fun and games,check
cast the first stone,check
cast the first stone,check
kick the bucket,check
kick the bucket,check
kick the bucket,check
fly a kite,check
fly a kite,check
fly a kite,check
in the clear,check
in the clear,u
have a few,check
have a few,check
have a few,check
to the hilt,check
to the hilt,check
to the hilt,u
open the floodgates,check
open the floodgates,check
open the floodgates,check
throw the book at,check
throw the book at,check
throw the book at,check
when the chips are down,check
when the chips are down,check
between a rock and a hard place,check
between a rock and a hard place,check
put down roots,check
put down roots,check
in your dreams,check
in your dreams,check
short and sweet,check
cut and dried,check
cut and dried,check
cut and dried,check
six of the best,l
six of the best,check
six of the best,check
behind closed doors,check
behind closed doors,check
behind closed doors,l
clear the decks,u
clear the decks,check
clear the decks,check
on the game,check
on the game,check
on the game,check
with open arms,check
with open arms,check
flash in the pan,check
flash in the pan,l
flash in the pan,check
rough around the edges,check
rough around the edges,u
fly off the handle,check
fly off the handle,check
see the light,check
see the light,u
see the light,check
pour cold water on,check
pour cold water on,check
pour cold water on,check
fire in the belly,l
get a grip,i
get a grip,check
get a grip,check
in the loop,check
in the loop,check
in the loop,check
fly in the face of,check
fly in the face of,check
get the boot,check
get the boot,check
on and off,check
on and off,check
on and off,check
cook the books,check
cook the books,check
cook the books,i
on the same page,check
on the same page,l
run a mile,check
run a mile,check
run a mile,u
on thin ice,check
on thin ice,check
close to home,check
close to home,check
close to home,check
in the bag,check
in the bag,check
in the raw,check
in the raw,check
cut the mustard,check
force someone's hand,check
force someone's hand,check
in the final analysis,check
in the final analysis,check
in the final analysis,check
up in the air,l
up in the air,check
fall from grace,check
fall from grace,check
fall from grace,check
full of beans,u
full of beans,check
full of beans,check
press the panic button,check
press the panic button,l
press the panic button,check
have a heart,l
have a heart,check
have a heart,check
on the fly,check
on the fly,check
get stuck in,check
get stuck in,l
get stuck in,check
out of the box,check
out of the box,check
out of the box,check
on the warpath,l
on the warpath,check
on the warpath,check
take a dive,check
take a dive,check
take a dive,check
scratch the surface,check
scratch the surface,check
scratch the surface,i
hammer and tongs,check
hammer and tongs,check
hammer and tongs,check
make a clean break,check
make a clean break,check
make a clean break,check
at sixes and sevens,i
nuts and bolts,check
nuts and bolts,check
nuts and bolts,check
the ball is in someone's court,check
the ball is in someone's court,check
get a life,check
get a life,check
get a life,check
on the nose,u
on the nose,check
on the nose,check
on a shoestring,check
in the driver's seat,check
in the driver's seat,check
wet behind the ears,u
wet behind the ears,check
wet behind the ears,check
up a tree,l
up a tree,check
up a tree,check
pick someone's brain,check
fill someone's shoes,l
save someone's skin,check
save someone's skin,check
walk all over,check
walk all over,check
walk all over,check
hot and heavy,check
hot and heavy,check
hot and heavy,check
strike a chord,i
strike a chord,check
strike a chord,check
batten down the hatches,check
batten down the hatches,check
batten down the hatches,check
cap in hand,l
cap in hand,l
cap in hand,check
kicking and screaming,check
kicking and screaming,u
kicking and screaming,check
sick and tired,u
sick and tired,check
on the cards,check
on the cards,u
face the music,i
face the music,check
come in from the cold,check
come in from the cold,check
come in from the cold,check
head over heels,u
head over heels,l
head over heels,check
reach for the stars,check
for a song,check
for a song,check
for a song,check
down the tubes,check
down the tubes,l
down the tubes,check
no strings attached,u
no strings attached,check
no strings attached,check
spit it out,check
spit it out,check
spit it out,check
don't hold your breath,check
don't hold your breath,check
don't hold your breath,u
stand up and be counted,check
stand up and be counted,check
far and away,check
far and away,check
far and away,check
sink or swim,u
sink or swim,check
sink or swim,check
hit the bottle,u
hit the bottle,check
hit the bottle,check
turn over a new leaf,check
turn over a new leaf,check
put the boot in,check
put the boot in,check
make a splash,check
make a splash,u
draw a line in the sand,check
push someone's buttons,check
push someone's buttons,i
separate the wheat from the chaff,check
separate the wheat from the chaff,check
get to grips with,l
get under someone's skin,check
get under someone's skin,check
get under someone's skin,check
up to speed,check
up to speed,i
go with the flow,check
go with the flow,check
rule the roost,check
rule the roost,check
rule the roost,check
in the fast lane,check
in the fast lane,check
in the fast lane,l
break the back of,l
break the back of,l
break the back of,check
put words in someone's mouth,check
put words in someone's mouth,check
put words in someone's mouth,check
shut the door on,check
shut the door on,check
shut the door on,check
kiss of death,check
kiss of death,check
kiss of death,check
on the skids,check
on the skids,u
on the skids,check
light at the end of the tunnel,check
light at the end of the tunnel,l
light at the end of the tunnel,u
on a roll,u
on a roll,check
rock the boat,check
rock the boat,check
below the belt,check
below the belt,check
below the belt,check
see eye to eye,check
see eye to eye,check
get it up,check
get it up,l
get it up,check
get away with murder,l
get away with murder,check
get away with murder,check
one of those things,check
one of those things,check
joined at the hip,check
joined at the hip,check
have a ball,check
have a ball,check
under the sun,check
under the sun,check
under the sun,check
on the wagon,check
on the wagon,check
on the wagon,check
call a spade a spade,check
call a spade a spade,u
call a spade a spade,check
spill the beans,check
spill the beans,check
on the button,check
on the button,check
on the button,check
black and blue,check
black and blue,l
black and blue,check
put the cart before the horse,check
bells and whistles,check
bells and whistles,check
in cold blood,check
in cold blood,check
carrot and stick,check
carrot and stick,check
down the road,check
down the road,check
down the road,check
heads will roll,check
heads will roll,check
at the end of the day,check
at the end of the day,check
at the end of the day,check
heart and soul,check
heart and soul,check
heart and soul,check
pack a punch,check
pack a punch,i
pack a punch,i
eat someone alive,check
eat someone alive,check
eat someone alive,check
tie the knot,check
tie the knot,l
tie the knot,check
step on it,check
step on it,check
out of the picture,check
out of the picture,check
break the ice,check
break the ice,check
break the ice,check
pop the question,check
pop the question,check
pop the question,check
full speed ahead,check
full speed ahead,check
full speed ahead,check
point the finger,check
point the finger,check
sign on the dotted line,check
sign on the dotted line,l
sign on the dotted line,check
up the ante,check
up the ante,check
up the ante,check
bring home the bacon,i
bring home the bacon,l
bring home the bacon,check
with a view to,check
with a view to,check
with a view to,check
move heaven and earth,check
move heaven and earth,check
move heaven and earth,check
across the board,check
across the board,check
tip the scales,check
tip the scales,check
face to face,check
face to face,check
face to face,l
hold someone's hand,check
hold someone's hand,check
hold someone's hand,check
cut from the same cloth,check
cut from the same cloth,check
cut from the same cloth,check
licence to print money,check
licence to print money,check
licence to print money,l
on the mend,l
on the mend,check
on the mend,check
go all the way,check
go all the way,check
go all the way,check
come with the territory,check
come with the territory,check
the bee's knees,check
the bee's knees,check
the bee's knees,check
on the back of,check
on the back of,check
on the back of,check
get a rise out of,check
get off the ground,check
get off the ground,check
get off the ground,check
under the table,check
under the table,check
under the table,check
do someone proud,check
do someone proud,check
do someone proud,check
down to the wire,check
down to the wire,u
down to the wire,u
go the distance,check
go the distance,check
go the distance,check
fast and furious,check
fast and furious,check
fast and furious,check
watch this space,check
watch this space,l
set the wheels in motion,u
set the wheels in motion,check
set the wheels in motion,check
to the tune of,check
to the tune of,check
to the tune of,check
on the back burner,check
on the back burner,check
on the back burner,check
turn the screw,check
turn the screw,check
turn the screw,check
glass ceiling,check
glass ceiling,check
glass ceiling,check
grass root,check
grass root,check
grass root,check
head hunter,l
head hunter,check
head hunter,check
heavy cross,check
heavy cross,check
heavy cross,i
banana republic,check
banana republic,u
banana republic,check
crocodile tear,check
crocodile tear,check
crocodile tear,check
eager beaver,check
eager beaver,check
cutting edge,check
cutting edge,check
cutting edge,check
melting pot,check
melting pot,check
melting pot,check
hot potato,check
hot potato,check
hot potato,check
monkey business,check
monkey business,check
monkey business,check
big cheese,check
big cheese,check
big cheese,check
nest egg,l
nest egg,check
big picture,check
big picture,check
big picture,check
night owl,check
night owl,check
night owl,u
fashion plate,check
fashion plate,check
fashion plate,check
big wig,check
big wig,u
big wig,check
flower child,check
flower child,check
flower child,check
panda car,check
black box,check
black box,check
black box,check
flea market,check
flea market,check
flea market,check
goose egg,check
blind alley,u
blind alley,check
blind alley,check
low profile,check
low profile,check
low profile,check
blue blood,check
blue blood,check
blue blood,check
grandfather clock,check
grandfather clock,check
grandfather clock,check
guinea pig,check
guinea pig,check
guinea pig,check
graveyard shift,check
graveyard shift,check
gravy train,check
gravy train,check
gravy train,check
rat run,check
rock bottom,check
rock bottom,check
rock bottom,check
pipe dream,l
pipe dream,i
pipe dream,check
rocket science,check
rocket science,check
rocket science,check
poison pill,check
poison pill,check
poison pill,check
shrinking violet,check
shrinking violet,check
shrinking violet,check
silver bullet,check
silver bullet,check
silver bullet,check
damp squib,check
dark horse,check
dark horse,check
dark horse,check
ivory tower,check
ivory tower,check
ivory tower,check
kangaroo court,i
kangaroo court,check
kangaroo court,check
sitting duck,check
double cross,check
double cross,check
double cross,i
smoking gun,check
smoking gun,check
double dutch,check
double dutch,check
double dutch,check
snake oil,check
snake oil,check
snake oil,check
smoke screen,check
smoke screen,check
smoke screen,check
swan song,check
swan song,check
swan song,check
old flame,check
old flame,check
old flame,i
zebra crossing,check
zebra crossing,check
zebra crossing,check
silver lining,check
top dog,check
bad hat,check
bad hat,check
bad hat,check
acid test,check
acid test,check
acid test,check
big fish,check
agony aunt,check
brass ring,check
brass ring,check
brass ring,check
busy bee,check
closed book,l
closed book,check
closed book,check
